Ligand,RECRUITER_CODE,smiles_atom_index,smile_atom
9BK,LR00520,17,C
9BK,LR00520,18,O
9BK,LR00520,19,N
9BK,LR00520,20,C
9BK,LR00520,21,C
9BK,LR00520,22,C
9BK,LR00520,23,C
9BK,LR00520,24,C
9BK,LR00520,25,C
9BK,LR00520,26,S
9BK,LR00520,27,C
9BK,LR00520,28,N
9BK,LR00520,29,C
9BK,LR00520,30,C
9BK,LR00520,31,C
9BK,LR00520,32,C
9BK,LR00520,33,C
9BK,LR00520,34,C
9BK,LR00520,35,C
9BK,LR00520,36,C
9BK,LR00520,37,C
9BK,LR00520,38,C
9BN,LR00519,0,C
9BN,LR00519,1,C
9BN,LR00519,2,N
9BN,LR00519,3,C
9BN,LR00519,4,S
9BN,LR00519,5,C
9BN,LR00519,6,C
9BN,LR00519,7,C
9BN,LR00519,8,C
9BN,LR00519,9,C
9BN,LR00519,10,C
9BN,LR00519,11,N
9BN,LR00519,12,C
9BN,LR00519,13,O
9BN,LR00519,14,C
9BN,LR00519,15,C
9BN,LR00519,16,C
9BN,LR00519,17,O
9BN,LR00519,18,C
9BN,LR00519,19,N
9BN,LR00519,20,C
9BN,LR00519,21,O
9BN,LR00519,22,C
9BN,LR00519,23,N
9BN,LR00519,24,C
9BN,LR00519,25,O
9BN,LR00519,26,C
9BN,LR00519,27,C
9BN,LR00519,28,C
9BN,LR00519,29,O
9BN,LR00519,30,C
9BN,LR00519,31,C
9BN,LR00519,32,C
9BN,LR00519,33,C
9BN,LR00519,34,C
9BN,LR00519,35,C
9BN,LR00519,36,C
9BN,LR00519,37,C
9BT,LR00515,0,C
9BT,LR00515,1,C
9BT,LR00515,2,N
9BT,LR00515,3,C
9BT,LR00515,4,S
9BT,LR00515,5,C
9BT,LR00515,6,C
9BT,LR00515,7,C
9BT,LR00515,8,C
9BT,LR00515,9,C
9BT,LR00515,10,C
9BT,LR00515,11,N
9BT,LR00515,12,C
9BT,LR00515,13,O
9BT,LR00515,14,C
9BT,LR00515,15,C
9BT,LR00515,16,C
9BT,LR00515,17,O
9BT,LR00515,18,C
9BT,LR00515,19,N
9BT,LR00515,20,C
9BT,LR00515,21,O
9BT,LR00515,22,C
9BT,LR00515,23,N
9BT,LR00515,24,C
9BT,LR00515,25,O
9BT,LR00515,26,C
9BT,LR00515,27,O
9BT,LR00515,28,C
9BT,LR00515,29,C
9BT,LR00515,30,C
9BT,LR00515,31,C
9BT,LR00515,32,C
9BT,LR00515,33,C
9BW,LR00516,0,C
9BW,LR00516,1,C
9BW,LR00516,2,N
9BW,LR00516,3,C
9BW,LR00516,4,S
9BW,LR00516,5,C
9BW,LR00516,6,C
9BW,LR00516,7,C
9BW,LR00516,8,C
9BW,LR00516,9,C
9BW,LR00516,10,C
9BW,LR00516,11,N
9BW,LR00516,12,C
9BW,LR00516,13,O
9BW,LR00516,14,C
9BW,LR00516,15,C
9BW,LR00516,16,C
9BW,LR00516,17,O
9BW,LR00516,18,C
9BW,LR00516,19,N
9BW,LR00516,20,C
9BW,LR00516,21,O
9BW,LR00516,22,C
9BW,LR00516,23,N
9BW,LR00516,24,C
9BW,LR00516,25,O
9BW,LR00516,26,C
9BW,LR00516,27,C
9BW,LR00516,28,C
9BW,LR00516,29,C
9BW,LR00516,30,C
9BW,LR00516,31,C
9BW,LR00516,32,C
9BW,LR00516,33,C
9BW,LR00516,34,C
9E7,LR00331,0,N
9E7,LR00331,1,C
9E7,LR00331,2,C
9E7,LR00331,3,O
9E7,LR00331,4,C
9E7,LR00331,5,C
9E7,LR00331,6,C
9E7,LR00331,7,C
9E7,LR00331,8,N
9E7,LR00331,9,C
9E7,LR00331,10,S
9E7,LR00332,0,N
9E7,LR00332,1,C
9E7,LR00332,2,C
9E7,LR00332,3,O
9E7,LR00332,4,C
9E7,LR00332,5,C
9E7,LR00332,6,C
9E7,LR00332,7,C
9E7,LR00332,8,N
9E7,LR00332,9,C
9E7,LR00332,10,S
9FT,LR00051,0,C
9FT,LR00051,1,O
9FT,LR00051,2,C
9FT,LR00051,3,C
9FT,LR00051,4,C
9FT,LR00051,5,C
9FT,LR00051,6,C
9FT,LR00051,7,C
9FT,LR00051,8,C
9FT,LR00051,9,C
9FT,LR00051,10,O
9FT,LR00051,11,N
9FT,LR00051,12,C
9FT,LR00051,13,O
9FT,LR00051,14,C
9FT,LR00051,15,C
9IB,LR00226,0,C
9IB,LR00226,1,C
9IB,LR00226,2,O
9IB,LR00226,3,N
9IB,LR00226,4,C
9IB,LR00226,5,C
9IB,LR00226,6,C
9IB,LR00226,7,C
9IB,LR00226,8,C
9IB,LR00226,9,O
9IB,LR00226,10,N
9IB,LR00226,11,C
9IB,LR00226,12,C
9IB,LR00226,13,O
9IB,LR00226,14,C
9IB,LR00226,15,O
9IB,LR00226,16,C
9IB,LR00226,17,C
9IB,LR00226,18,C
9IB,LR00226,19,C
9IB,LR00226,20,C
9IB,LR00226,21,C
9IB,LR00226,22,C
9IB,LR00226,23,C
9IB,LR00226,24,C
9IB,LR00226,25,C
9IB,LR00226,26,C
9IB,LR00226,27,O
9IB,LR00226,28,O
9IB,LR00226,29,C
9IB,LR00226,30,C
9IB,LR00226,31,C
9IB,LR00226,32,S
9IB,LR00226,33,C
9IB,LR00226,34,C
9IB,LR00226,35,C
9IB,LR00226,36,O
9IB,LR00226,37,N
9IB,LR00226,38,C
9IB,LR00226,39,C
9IB,LR00226,40,N
9IB,LR00226,41,C
9IB,LR00226,42,O
9JZ,LR00562,0,C
9JZ,LR00562,1,N
9JZ,LR00562,2,C
9JZ,LR00562,3,C
9JZ,LR00562,4,C
9JZ,LR00562,5,O
9JZ,LR00562,6,N
9JZ,LR00562,7,C
9JZ,LR00562,8,C
9JZ,LR00562,9,C
9JZ,LR00562,10,C
9JZ,LR00562,11,C
9JZ,LR00562,12,C
9JZ,LR00562,13,C
9JZ,LR00562,14,C
9JZ,LR00562,15,O
9JZ,LR00562,16,N
9JZ,LR00562,17,C
9JZ,LR00562,18,C
9JZ,LR00562,19,C
9JZ,LR00562,20,C
9JZ,LR00562,21,C
9JZ,LR00562,22,C
9JZ,LR00562,23,O
9JZ,LR00562,24,N
9JZ,LR00562,25,C
9JZ,LR00562,26,C
9JZ,LR00562,27,C
9JZ,LR00562,28,C
9JZ,LR00562,29,C
9JZ,LR00562,30,C
9JZ,LR00562,31,C
9JZ,LR00562,32,N
9JZ,LR00562,33,C
9JZ,LR00562,34,C
9JZ,LR00562,35,C
9JZ,LR00562,36,N
9P0,LR00227,0,C
9P0,LR00227,1,C
9P0,LR00227,2,O
9P0,LR00227,3,N
9P0,LR00227,4,C
9P0,LR00227,5,C
9P0,LR00227,6,C
9P0,LR00227,7,C
9P0,LR00227,8,C
9P0,LR00227,9,O
9P0,LR00227,10,N
9P0,LR00227,11,C
9P0,LR00227,12,C
9P0,LR00227,13,O
9P0,LR00227,14,C
9P0,LR00227,15,O
9P0,LR00227,16,C
9P0,LR00227,17,C
9P0,LR00227,18,C
9P0,LR00227,19,C
9P0,LR00227,20,C
9P0,LR00227,21,C
9P0,LR00227,22,C
9P0,LR00227,23,C
9P0,LR00227,24,C
9P0,LR00227,25,C
9P0,LR00227,26,O
9P0,LR00227,27,O
9P0,LR00227,28,C
9P0,LR00227,29,C
9P0,LR00227,30,C
9P0,LR00227,31,C
9P0,LR00227,32,S
9P0,LR00227,33,C
9P0,LR00227,34,C
9P0,LR00227,35,C
9P0,LR00227,36,O
9P0,LR00227,37,N
9P0,LR00227,38,C
9P0,LR00227,39,C
9P0,LR00227,40,N
9P0,LR00227,41,C
9P0,LR00227,42,O
9QU,LR00152,0,O
9QU,LR00152,1,C
9QU,LR00152,2,C
9QU,LR00152,3,N
9QU,LR00152,4,C
9QU,LR00152,5,C
9QU,LR00152,6,C
9QU,LR00152,7,C
9QU,LR00152,8,C
9QU,LR00152,9,C
9QU,LR00152,10,C
9QU,LR00152,11,C
9QU,LR00152,12,C
9QU,LR00152,13,N
9QU,LR00152,14,N
9QU,LR00152,15,C
9QU,LR00152,16,C
9QU,LR00152,17,C
9QU,LR00152,18,C
9QU,LR00152,19,C
9QU,LR00152,20,N
9QU,LR00152,21,C
9QU,LR00152,22,C
9QU,LR00152,23,C
9QU,LR00152,24,C
9QU,LR00152,25,C
9QU,LR00152,26,C
9QU,LR00152,27,N
9QU,LR00152,28,C
9QU,LR00152,29,C
9QW,LR00329,0,C
9QW,LR00329,1,O
9QW,LR00329,2,C
9QW,LR00329,3,N
9QW,LR00329,4,C
9QW,LR00329,5,C
9QW,LR00329,6,C
9QW,LR00329,7,N
9QW,LR00329,8,C
9QW,LR00329,9,C
9QW,LR00329,10,O
9QW,LR00329,11,N
9QW,LR00329,12,C
9QW,LR00329,13,C
9QW,LR00329,14,C
9QW,LR00329,15,Cl
9QW,LR00329,16,C
9QW,LR00329,17,N
9QW,LR00329,18,C
9QW,LR00329,19,C
9QW,LR00329,20,O
9QW,LR00329,21,C
9QW,LR00329,22,C
9QW,LR00329,23,C
9QW,LR00329,24,C
9QW,LR00329,25,C
9QW,LR00329,26,Cl
9QW,LR00329,27,C
9QW,LR00329,28,C
9QW,LR00329,29,C
9QW,LR00329,30,N
9QW,LR00329,31,C
9QW,LR00329,32,C
9QW,LR00329,33,C
9QW,LR00329,34,C
9QW,LR00329,35,O
9QW,LR00329,36,C
9QW,LR00329,37,N
A01,LR00446,0,C
A01,LR00446,1,C
A01,LR00446,2,N
A01,LR00446,3,N
A01,LR00446,4,C
A01,LR00446,5,C
A01,LR00446,6,C
A01,LR00446,7,O
A01,LR00446,8,N
A01,LR00446,9,N
A01,LR00446,10,C
A01,LR00446,11,C
A02,LR00399,0,C
A02,LR00399,1,C
A02,LR00399,2,O
A02,LR00399,3,N
A02,LR00399,4,C
A02,LR00399,5,C
A02,LR00399,6,N
A02,LR00399,7,C
A02,LR00399,8,N
A02,LR00399,9,O
A02,LR00399,10,C
A02,LR00399,11,C
A03,LR00434,0,C
A03,LR00434,1,C
A03,LR00434,2,O
A03,LR00434,3,C
A03,LR00434,4,C
A03,LR00434,5,N
A03,LR00434,6,C
A03,LR00434,7,C
A03,LR00434,8,C
A03,LR00434,9,N
A03,LR00434,10,C
A03,LR00434,11,C
A03,LR00434,12,C
A04,LR00436,0,C
A04,LR00436,1,C
A04,LR00436,2,O
A04,LR00436,3,C
A04,LR00436,4,C
A04,LR00436,5,N
A04,LR00436,6,N
A04,LR00436,7,C
A04,LR00436,8,C
A04,LR00436,9,C
A04,LR00436,10,C
A04,LR00436,11,C
A04,LR00436,12,C
A06,LR00387,0,C
A06,LR00387,1,C
A06,LR00387,2,N
A06,LR00387,3,C
A06,LR00387,4,N
A06,LR00387,5,C
A06,LR00387,6,C
A06,LR00387,7,C
A06,LR00387,8,C
A06,LR00387,9,C
A06,LR00387,10,C
A06,LR00387,11,O
A06,LR00387,12,N
A06,LR00387,13,N
A07,LR00427,0,C
A07,LR00427,1,N
A07,LR00427,2,C
A07,LR00427,3,C
A07,LR00427,4,N
A07,LR00427,5,O
A07,LR00427,6,C
A07,LR00427,7,C
A07,LR00427,8,C
A07,LR00427,9,C
A07,LR00427,10,N
A07,LR00427,11,C
A07,LR00427,12,C
A07,LR00427,13,N
A08,LR00417,0,C
A08,LR00417,1,C
A08,LR00417,2,O
A08,LR00417,3,N
A08,LR00417,4,C
A08,LR00417,5,C
A08,LR00417,6,C
A08,LR00417,7,O
A08,LR00417,8,C
A08,LR00417,9,O
A08,LR00417,10,C
A08,LR00417,11,C
A08,LR00417,12,C
A08,LR00417,13,C
A09,LR00410,0,C
A09,LR00410,1,C
A09,LR00410,2,O
A09,LR00410,3,N
A09,LR00410,4,C
A09,LR00410,5,C
A09,LR00410,6,C
A09,LR00410,7,C
A09,LR00410,8,N
A09,LR00410,9,C
A09,LR00410,10,N
A09,LR00410,11,C
A09,LR00410,12,C
A09,LR00410,13,C
A10,LR00393,0,C
A10,LR00393,1,C
A10,LR00393,2,O
A10,LR00393,3,C
A10,LR00393,4,C
A10,LR00393,5,N
A10,LR00393,6,C
A10,LR00393,7,N
A10,LR00393,8,C
A10,LR00393,9,C
A10,LR00393,10,C
A10,LR00393,11,C
A10,LR00393,12,F
A10,LR00393,13,C
A11,LR00416,0,F
A11,LR00416,1,C
A11,LR00416,2,C
A11,LR00416,3,C
A11,LR00416,4,C
A11,LR00416,5,N
A11,LR00416,6,C
A11,LR00416,7,C
A11,LR00416,8,C
A11,LR00416,9,O
A11,LR00416,10,C
A11,LR00416,11,C
A11,LR00416,12,N
A11,LR00416,13,C
A12,LR00394,0,C
A12,LR00394,1,C
A12,LR00394,2,O
A12,LR00394,3,N
A12,LR00394,4,C
A12,LR00394,5,C
A12,LR00394,6,C
A12,LR00394,7,C
A12,LR00394,8,C
A12,LR00394,9,C
A12,LR00394,10,C
A12,LR00394,11,C
A12,LR00394,12,C
A12,LR00394,13,C
A12,LR00394,14,C
A13,LR00444,0,C
A13,LR00444,1,C
A13,LR00444,2,N
A13,LR00444,3,C
A13,LR00444,4,C
A13,LR00444,5,C
A13,LR00444,6,N
A13,LR00444,7,C
A13,LR00444,8,C
A13,LR00444,9,C
A13,LR00444,10,N
A13,LR00444,11,C
A13,LR00444,12,C
A13,LR00444,13,C
A13,LR00444,14,C
A14,LR00419,0,C
A14,LR00419,1,N
A14,LR00419,2,C
A14,LR00419,3,C
A14,LR00419,4,O
A14,LR00419,5,C
A14,LR00419,6,C
A14,LR00419,7,C
A14,LR00419,8,C
A14,LR00419,9,N
A14,LR00419,10,C
A14,LR00419,11,C
A14,LR00419,12,C
A14,LR00419,13,C
A14,LR00419,14,C
A15,LR00480,0,O
A15,LR00480,1,C
A15,LR00480,2,C
A15,LR00480,3,N
A15,LR00480,4,C
A15,LR00480,5,C
A15,LR00480,6,C
A15,LR00480,7,C
A15,LR00480,8,C
A15,LR00480,9,C
A15,LR00480,10,C
A15,LR00480,11,C
A15,LR00480,12,C
A15,LR00480,13,O
A15,LR00480,14,N
A16,LR00460,0,C
A16,LR00460,1,N
A16,LR00460,2,C
A16,LR00460,3,C
A16,LR00460,4,C
A16,LR00460,5,C
A16,LR00460,6,O
A16,LR00460,7,N
A16,LR00460,8,C
A16,LR00460,9,C
A16,LR00460,10,C
A16,LR00460,11,C
A16,LR00460,12,C
A16,LR00460,13,O
A16,LR00460,14,N
A17,LR00449,0,C
A17,LR00449,1,N
A17,LR00449,2,C
A17,LR00449,3,C
A17,LR00449,4,O
A17,LR00449,5,N
A17,LR00449,6,C
A17,LR00449,7,C
A17,LR00449,8,O
A17,LR00449,9,C
A17,LR00449,10,C
A17,LR00449,11,C
A17,LR00449,12,C
A17,LR00449,13,O
A17,LR00449,14,C
A18,LR00392,0,C
A18,LR00392,1,C
A18,LR00392,2,C
A18,LR00392,3,O
A18,LR00392,4,C
A18,LR00392,5,C
A18,LR00392,6,N
A18,LR00392,7,C
A18,LR00392,8,C
A18,LR00392,9,C
A18,LR00392,10,C
A18,LR00392,11,F
A18,LR00392,12,C
A18,LR00392,13,N
A18,LR00392,14,C
A20,LR00445,0,C
A20,LR00445,1,N
A20,LR00445,2,C
A20,LR00445,3,C
A20,LR00445,4,O
A20,LR00445,5,C
A20,LR00445,6,C
A20,LR00445,7,N
A20,LR00445,8,C
A20,LR00445,9,N
A20,LR00445,10,C
A20,LR00445,11,C
A20,LR00445,12,S
A20,LR00445,13,C
A21,LR00458,0,O
A21,LR00458,1,C
A21,LR00458,2,N
A21,LR00458,3,C
A21,LR00458,4,C
A21,LR00458,5,O
A21,LR00458,6,C
A21,LR00458,7,C
A21,LR00458,8,N
A21,LR00458,9,C
A21,LR00458,10,C
A21,LR00458,11,C
A21,LR00458,12,C
A21,LR00458,13,F
A21,LR00458,14,C
A23,LR00451,0,C
A23,LR00451,1,C
A23,LR00451,2,C
A23,LR00451,3,C
A23,LR00451,4,N
A23,LR00451,5,C
A23,LR00451,6,C
A23,LR00451,7,C
A23,LR00451,8,C
A23,LR00451,9,S
A23,LR00451,10,O
A23,LR00451,11,O
A23,LR00451,12,C
A23,LR00451,13,C
A23,LR00452,0,C
A23,LR00452,1,C
A23,LR00452,2,C
A23,LR00452,3,C
A23,LR00452,4,N
A23,LR00452,5,C
A23,LR00452,6,C
A23,LR00452,7,C
A23,LR00452,8,C
A23,LR00452,9,S
A23,LR00452,10,O
A23,LR00452,11,O
A23,LR00452,12,C
A23,LR00452,13,C
A24,LR00457,0,C
A24,LR00457,1,O
A24,LR00457,2,C
A24,LR00457,3,C
A24,LR00457,4,N
A24,LR00457,5,S
A24,LR00457,6,O
A24,LR00457,7,O
A24,LR00457,8,N
A24,LR00457,9,C
A24,LR00457,10,C
A24,LR00457,11,C
A24,LR00457,12,C
A24,LR00457,13,C
A25,LR00476,0,C
A25,LR00476,1,C
A25,LR00476,2,C
A25,LR00476,3,C
A25,LR00476,4,C
A25,LR00476,5,N
A25,LR00476,6,S
A25,LR00476,7,C
A25,LR00476,8,O
A25,LR00476,9,O
A25,LR00476,10,C
A25,LR00476,11,N
A25,LR00476,12,N
A25,LR00476,13,C
A26,LR00453,0,C
A26,LR00453,1,O
A26,LR00453,2,C
A26,LR00453,3,C
A26,LR00453,4,N
A26,LR00453,5,C
A26,LR00453,6,C
A26,LR00453,7,C
A26,LR00453,8,N
A26,LR00453,9,C
A26,LR00453,10,S
A26,LR00453,11,C
A26,LR00453,12,C
A26,LR00453,13,C
A26,LR00453,14,C
A28,LR00407,0,O
A28,LR00407,1,C
A28,LR00407,2,C
A28,LR00407,3,N
A28,LR00407,4,C
A28,LR00407,5,C
A28,LR00407,6,C
A28,LR00407,7,C
A28,LR00407,8,O
A28,LR00407,9,N
A28,LR00407,10,C
A28,LR00407,11,N
A28,LR00407,12,C
A28,LR00407,13,C
A28,LR00407,14,S
A29,LR00465,0,C
A29,LR00465,1,C
A29,LR00465,2,C
A29,LR00465,3,N
A29,LR00465,4,C
A29,LR00465,5,O
A29,LR00465,6,C
A29,LR00465,7,C
A29,LR00465,8,N
A29,LR00465,9,S
A29,LR00465,10,N
A29,LR00465,11,C
A29,LR00465,12,C
A29,LR00465,13,C
A29,LR00465,14,O
A30,LR00473,0,C
A30,LR00473,1,S
A30,LR00473,2,O
A30,LR00473,3,O
A30,LR00473,4,N
A30,LR00473,5,C
A30,LR00473,6,C
A30,LR00473,7,C
A30,LR00473,8,O
A30,LR00473,9,C
A30,LR00473,10,C
A30,LR00473,11,C
A30,LR00473,12,C
A30,LR00473,13,C
A30,LR00473,14,C
A31,LR00408,0,C
A31,LR00408,1,C
A31,LR00408,2,O
A31,LR00408,3,N
A31,LR00408,4,C
A31,LR00408,5,C
A31,LR00408,6,C
A31,LR00408,7,C
A31,LR00408,8,C
A31,LR00408,9,N
A31,LR00408,10,S
A31,LR00408,11,C
A31,LR00408,12,O
A31,LR00408,13,O
A31,LR00408,14,C
A32,LR00477,0,C
A32,LR00477,1,C
A32,LR00477,2,C
A32,LR00477,3,O
A32,LR00477,4,N
A32,LR00477,5,C
A32,LR00477,6,C
A32,LR00477,7,C
A32,LR00477,8,C
A32,LR00477,9,N
A32,LR00477,10,S
A32,LR00477,11,C
A32,LR00477,12,O
A32,LR00477,13,O
A32,LR00477,14,C
A34,LR00400,0,C
A34,LR00400,1,C
A34,LR00400,2,C
A34,LR00400,3,C
A34,LR00400,4,C
A34,LR00400,5,C
A34,LR00400,6,O
A34,LR00400,7,O
A34,LR00400,8,C
A34,LR00400,9,C
A34,LR00400,10,C
A34,LR00400,11,O
A34,LR00400,12,C
A34,LR00400,13,C
A34,LR00400,14,O
A34,LR00400,15,C
A34,LR00400,16,C
A34,LR00400,17,C
A34,LR00401,0,C
A34,LR00401,1,C
A34,LR00401,2,C
A34,LR00401,3,C
A34,LR00401,4,C
A34,LR00401,5,C
A34,LR00401,6,O
A34,LR00401,7,O
A34,LR00401,8,C
A34,LR00401,9,C
A34,LR00401,10,C
A34,LR00401,11,O
A34,LR00401,12,C
A34,LR00401,13,C
A34,LR00401,14,O
A34,LR00401,15,C
A34,LR00401,16,C
A34,LR00401,17,C
A35,LR00442,0,O
A35,LR00442,1,C
A35,LR00442,2,O
A35,LR00442,3,C
A35,LR00442,4,C
A35,LR00442,5,C
A35,LR00442,6,C
A35,LR00442,7,N
A35,LR00442,8,C
A35,LR00442,9,O
A35,LR00442,10,C
A35,LR00442,11,C
A35,LR00442,12,C
A35,LR00442,13,C
A35,LR00442,14,C
A35,LR00442,15,F
A35,LR00442,16,C
A35,LR00442,17,C
A35,LR00442,18,C
A36,LR00094,0,C
A36,LR00094,1,O
A36,LR00094,2,C
A36,LR00094,3,C
A36,LR00094,4,S
A36,LR00094,5,C
A36,LR00094,6,C
A36,LR00094,7,C
A36,LR00094,8,C
A36,LR00094,9,N
A36,LR00094,10,C
A36,LR00094,11,C
A36,LR00094,12,C
A36,LR00094,13,C
A36,LR00094,14,O
A36,LR00094,15,N
A36,LR00094,16,C
A36,LR00094,17,O
A36,LR00094,18,N
A36,LR00094,19,N
A37,LR00095,0,C
A37,LR00095,1,O
A37,LR00095,2,C
A37,LR00095,3,C
A37,LR00095,4,S
A37,LR00095,5,C
A37,LR00095,6,C
A37,LR00095,7,C
A37,LR00095,8,C
A37,LR00095,9,N
A37,LR00095,10,C
A37,LR00095,11,C
A37,LR00095,12,C
A37,LR00095,13,C
A37,LR00095,14,O
A37,LR00095,15,N
A37,LR00095,16,C
A37,LR00095,17,O
A37,LR00095,18,N
A37,LR00095,19,N
A38,LR00103,0,C
A38,LR00103,1,O
A38,LR00103,2,C
A38,LR00103,3,C
A38,LR00103,4,S
A38,LR00103,5,C
A38,LR00103,6,C
A38,LR00103,7,C
A38,LR00103,8,C
A38,LR00103,9,N
A38,LR00103,10,C
A38,LR00103,11,C
A38,LR00103,12,C
A38,LR00103,13,C
A38,LR00103,14,O
A38,LR00103,15,N
A38,LR00103,16,C
A38,LR00103,17,O
A38,LR00103,18,N
A38,LR00103,19,N
A39,LR00102,0,O
A39,LR00102,1,C
A39,LR00102,2,C
A39,LR00102,3,C
A39,LR00102,4,C
A39,LR00102,5,C
A39,LR00102,6,C
A39,LR00102,7,C
A39,LR00102,8,C
A39,LR00102,9,C
A39,LR00102,10,C
A39,LR00102,11,C
A39,LR00102,12,C
A39,LR00102,13,C
A39,LR00102,14,C
A39,LR00102,15,C
A39,LR00102,16,C
A39,LR00102,17,Cl
A39,LR00102,18,C
A39,LR00102,19,O
A39,LR00102,20,N
A40,LR00093,0,C
A40,LR00093,1,N
A40,LR00093,2,N
A40,LR00093,3,C
A40,LR00093,4,C
A40,LR00093,5,C
A40,LR00093,6,C
A40,LR00093,7,C
A40,LR00093,8,O
A40,LR00093,9,N
A40,LR00093,10,C
A40,LR00093,11,O
A40,LR00093,12,C
A40,LR00093,13,C
A40,LR00093,14,C
A40,LR00093,15,C
A40,LR00093,16,N
A40,LR00093,17,C
A40,LR00093,18,C
A40,LR00093,19,C
A40,LR00093,20,N
A40,LR00093,21,C
A40,LR00093,22,C
A40,LR00093,23,C
A40,LR00093,24,C
A41,LR00236,0,C
A41,LR00236,1,C
A41,LR00236,2,C
A41,LR00236,3,O
A41,LR00236,4,N
A41,LR00236,5,C
A41,LR00236,6,C
A41,LR00236,7,O
A41,LR00236,8,C
A41,LR00236,9,C
A41,LR00236,10,C
A41,LR00236,11,C
A41,LR00236,12,C
A41,LR00236,13,Cl
A41,LR00236,14,C
A41,LR00236,15,C
A41,LR00236,16,C
A41,LR00236,17,N
A41,LR00236,18,C
A41,LR00236,19,N
A41,LR00236,20,C
A41,LR00236,21,N
A41,LR00236,22,N
A41,LR00236,23,C
A42,LR00486,0,C
A42,LR00486,1,C
A42,LR00486,2,O
A42,LR00486,3,C
A42,LR00486,4,C
A42,LR00486,5,C
A42,LR00486,6,Cl
A42,LR00486,7,C
A42,LR00486,8,C
A42,LR00486,9,C
A42,LR00486,10,N
A42,LR00486,11,C
A42,LR00486,12,C
A42,LR00486,13,N
A42,LR00486,14,C
A42,LR00486,15,C
A42,LR00486,16,N
A42,LR00486,17,C
A42,LR00486,18,C
A42,LR00486,19,N
A42,LR00486,20,C
A42,LR00486,21,C
A42,LR00486,22,C
A42,LR00486,23,C
A42,LR00486,24,F
A42,LR00486,25,C
A42,LR00486,26,C
A42,LR00486,27,C
A42,LR00486,28,O
A43,LR00101,0,O
A43,LR00101,1,C
A43,LR00101,2,C
A43,LR00101,3,C
A43,LR00101,4,N
A43,LR00101,5,C
A43,LR00101,6,C
A43,LR00101,7,N
A43,LR00101,8,C
A43,LR00101,9,C
A43,LR00101,10,C
A43,LR00101,11,C
A43,LR00101,12,N
A43,LR00101,13,C
A43,LR00101,14,O
A43,LR00101,15,C
A43,LR00101,16,C
A43,LR00101,17,C
A43,LR00101,18,C
A43,LR00101,19,C
A43,LR00101,20,C
A43,LR00101,21,C
A43,LR00101,22,C
A43,LR00101,23,C
A43,LR00101,24,N
A43,LR00101,25,S
A43,LR00101,26,O
A43,LR00101,27,O
A43,LR00101,28,C
A43,LR00101,29,C
A43,LR00101,30,C
A43,LR00101,31,C
A43,LR00101,32,C
A43,LR00101,33,C
A43,LR00101,34,C
A43,LR00101,35,C
A43,LR00101,36,C
A43,LR00101,37,N
A43,LR00101,38,C
A43,LR00101,39,O
A43,LR00101,40,N
A4E,LR00584,0,C
A4E,LR00584,1,C
A4E,LR00584,2,C
A4E,LR00584,3,N
A4E,LR00584,4,C
A4E,LR00584,5,C
A4E,LR00584,6,O
A4E,LR00584,7,N
A4E,LR00584,8,C
A4E,LR00584,9,C
A4E,LR00584,10,C
A4E,LR00584,11,C
A4E,LR00584,12,C
A4E,LR00584,13,N
A4E,LR00584,14,C
A4E,LR00584,15,C
A4E,LR00584,16,O
A4E,LR00584,17,C
A4E,LR00584,18,C
A4E,LR00584,19,C
A4E,LR00584,20,C
A4E,LR00584,21,C
A4E,LR00584,22,C
A4E,LR00584,23,F
A4E,LR00584,24,C
A4E,LR00584,25,C
A4E,LR00584,26,C
A4E,LR00584,27,C
A4E,LR00584,28,C
A4E,LR00584,29,C
A4E,LR00584,30,N
A4E,LR00584,31,C
A4E,LR00584,32,C
A4E,LR00584,33,O
A4E,LR00584,34,C
A4E,LR00584,35,C
A4E,LR00584,36,C
A4E,LR00584,37,C
A4E,LR00584,38,N
A51,LR00551,0,C
A51,LR00551,1,C
A51,LR00551,2,C
A51,LR00551,3,N
A51,LR00551,4,C
A51,LR00551,5,C
A51,LR00551,6,N
A51,LR00551,7,C
A51,LR00551,8,C
A51,LR00551,9,C
A51,LR00551,10,C
A51,LR00551,11,C
A51,LR00551,12,C
A51,LR00551,13,C
A51,LR00551,14,F
A51,LR00551,15,C
A51,LR00551,16,C
A52,LR00106,0,O
A52,LR00106,1,C
A52,LR00106,2,C
A52,LR00106,3,C
A52,LR00106,4,N
A52,LR00106,5,C
A52,LR00106,6,C
A52,LR00106,7,N
A52,LR00106,8,C
A52,LR00106,9,C
A52,LR00106,10,O
A52,LR00106,11,C
A52,LR00106,12,C
A52,LR00106,13,C
A52,LR00106,14,C
A52,LR00106,15,N
A52,LR00106,16,C
A52,LR00106,17,C
A52,LR00106,18,C
A52,LR00106,19,C
A52,LR00106,20,C
A52,LR00106,21,N
A52,LR00106,22,C
A52,LR00106,23,O
A52,LR00106,24,N
A53,LR00105,0,O
A53,LR00105,1,C
A53,LR00105,2,N
A53,LR00105,3,C
A53,LR00105,4,O
A53,LR00105,5,C
A53,LR00105,6,C
A53,LR00105,7,C
A53,LR00105,8,N
A53,LR00105,9,C
A53,LR00105,10,C
A53,LR00105,11,C
A53,LR00105,12,O
A53,LR00105,13,C
A53,LR00105,14,C
A53,LR00105,15,C
A53,LR00105,16,C
A53,LR00105,17,N
A53,LR00105,18,C
