RECRUITER_CODE,smiles_atom_index,smile_atom
LR00015,15,O
LR00016,0,O
LR00016,1,C
LR00016,2,C
LR00016,3,C
LR00016,4,C
LR00016,5,N
LR00016,6,C
LR00016,7,O
LR00016,8,C
LR00016,9,C
LR00016,10,C
LR00016,11,C
LR00016,12,C
LR00016,13,C
LR00016,14,C
LR00016,15,O
LR00016,16,C
LR00016,17,O
LR00016,18,N
LR00017,0,O
LR00017,1,C
LR00017,2,C
LR00017,3,C
LR00017,4,C
LR00017,5,N
LR00017,6,C
LR00017,7,O
LR00017,8,C
LR00017,9,C
LR00017,10,C
LR00017,11,C
LR00017,12,C
LR00017,13,C
LR00017,14,C
LR00017,15,O
LR00017,16,C
LR00017,17,O
LR00017,18,N
LR00018,0,O
LR00018,1,C
LR00018,2,C
LR00018,3,C
LR00018,4,C
LR00018,5,N
LR00018,6,C
LR00018,7,O
LR00018,8,C
LR00018,9,C
LR00018,10,C
LR00018,11,C
LR00018,12,C
LR00018,13,C
LR00018,14,C
LR00018,15,O
LR00018,16,C
LR00018,17,O
LR00018,18,N
LR00019,0,O
LR00019,1,C
LR00019,2,C
LR00019,3,C
LR00019,4,C
LR00019,5,N
LR00019,6,C
LR00019,7,O
LR00019,8,C
LR00019,9,C
LR00019,10,C
LR00019,11,C
LR00019,12,C
LR00019,13,C
LR00019,14,C
LR00019,15,O
LR00019,16,C
LR00019,17,O
LR00019,18,N
LR00020,0,N
LR00020,1,C
LR00020,2,C
LR00020,3,C
LR00020,4,C
LR00020,5,C
LR00020,6,C
LR00020,7,C
LR00020,8,N
LR00020,9,C
LR00020,10,C
LR00020,11,C
LR00020,12,C
LR00020,13,O
LR00020,14,N
LR00020,15,C
LR00020,16,O
LR00020,17,C
LR00020,18,O
LR00021,0,C
LR00021,1,C
LR00021,2,C
LR00021,3,C
LR00021,4,C
LR00021,5,N
LR00021,6,C
LR00021,7,O
LR00021,8,N
LR00021,9,C
LR00021,10,C
LR00021,11,C
LR00021,12,C
LR00021,13,C
LR00021,14,C
LR00021,15,C
LR00021,16,C
LR00021,17,N
LR00021,18,C
LR00021,19,C
LR00021,20,C
LR00021,21,C
LR00021,22,O
LR00021,23,N
LR00021,24,C
LR00021,25,O
LR00021,26,C
LR00021,27,O
LR00021,28,C
LR00021,29,C
LR00021,30,Cl
LR00022,0,O
LR00022,1,C
LR00022,2,C
LR00022,3,C
LR00022,4,C
LR00022,5,N
LR00022,6,C
LR00022,7,C
LR00022,8,C
LR00022,9,O
LR00022,10,C
LR00022,11,C
LR00022,12,C
LR00022,13,C
LR00022,14,C
LR00022,15,C
LR00022,16,N
LR00022,17,C
LR00022,18,C
LR00022,19,O
LR00022,20,C
LR00022,21,C
LR00022,22,C
LR00022,23,C
LR00022,24,C
LR00022,25,C
LR00022,26,C
LR00022,27,C
LR00022,28,C
LR00022,29,O
LR00022,30,C
LR00022,31,O
LR00022,32,N
LR00023,0,O
LR00023,1,C
LR00023,2,C
LR00023,3,C
LR00023,4,C
LR00023,5,N
LR00023,6,C
LR00023,7,O
LR00023,8,C
LR00023,9,C
LR00023,10,C
LR00023,11,C
LR00023,12,C
LR00023,13,C
LR00023,14,C
LR00023,15,O
LR00023,16,C
LR00023,17,O
LR00023,18,N
LR00024,0,O
LR00024,1,C
LR00024,2,C
LR00024,3,C
LR00024,4,C
LR00024,5,N
LR00024,6,C
LR00024,7,O
LR00024,8,C
LR00024,9,C
LR00024,10,C
LR00024,11,C
LR00024,12,C
LR00024,13,C
LR00024,14,C
LR00024,15,O
LR00024,16,C
LR00024,17,O
LR00024,18,N
LR00025,0,O
LR00025,1,C
LR00025,2,C
LR00025,3,C
LR00025,4,C
LR00025,5,N
LR00025,6,C
LR00025,7,O
LR00025,8,C
LR00025,9,C
LR00025,10,C
LR00025,11,C
LR00025,12,C
LR00025,13,C
LR00025,14,C
LR00025,15,O
LR00025,16,C
LR00025,17,O
LR00025,18,N
LR00026,0,N
LR00026,1,C
LR00026,2,C
LR00026,3,C
LR00026,4,C
LR00026,5,C
LR00026,6,C
LR00026,7,C
LR00026,8,O
LR00026,9,N
LR00026,10,C
LR00026,11,C
LR00026,12,C
LR00026,13,C
LR00026,14,O
LR00026,15,N
LR00026,16,C
LR00026,17,O
LR00026,18,C
LR00026,19,O
LR00027,0,N
LR00027,1,C
LR00027,2,C
LR00027,3,C
LR00027,4,C
LR00027,5,C
LR00027,6,C
LR00027,7,C
LR00027,8,O
LR00027,9,N
LR00027,10,C
LR00027,11,C
LR00027,12,C
LR00027,13,C
LR00027,14,O
LR00027,15,N
LR00027,16,C
LR00027,17,O
LR00027,18,C
LR00027,19,O
LR00028,0,O
LR00028,1,C
LR00028,2,O
LR00028,3,C
LR00028,4,C
LR00028,5,C
LR00028,6,C
LR00028,7,C
LR00028,8,C
LR00028,9,C
LR00028,10,O
LR00028,11,N
LR00028,12,C
LR00028,13,C
LR00028,14,C
LR00028,15,C
LR00028,16,O
LR00028,17,N
LR00028,18,C
LR00028,19,O
LR00029,0,O
LR00029,1,C
LR00029,2,C
LR00029,3,C
LR00029,4,C
LR00029,5,N
LR00029,6,C
LR00029,7,O
LR00029,8,C
LR00029,9,C
LR00029,10,C
LR00029,11,C
LR00029,12,C
LR00029,13,C
LR00029,14,C
LR00029,15,O
LR00029,16,C
LR00029,17,O
LR00029,18,N
LR00030,0,O
LR00030,1,C
LR00030,2,C
LR00030,3,C
LR00030,4,N
LR00030,5,C
LR00030,6,O
LR00030,7,C
LR00030,8,C
LR00030,9,C
LR00030,10,N
LR00030,11,O
LR00030,12,O
LR00030,13,C
LR00030,14,C
LR00030,15,C
LR00030,16,C
LR00030,17,O
LR00030,18,O
LR00030,19,C
LR00030,20,O
LR00030,21,N
LR00031,0,N
LR00031,1,C
LR00031,2,C
LR00031,3,C
LR00031,4,C
LR00031,5,C
LR00031,6,C
LR00031,7,C
LR00031,8,O
LR00031,9,N
LR00031,10,C
LR00031,11,C
LR00031,12,C
LR00031,13,O
LR00031,14,N
LR00031,15,C
LR00031,16,O
LR00031,17,C
LR00031,18,O
LR00032,0,O
LR00032,1,C
LR00032,2,C
LR00032,3,C
LR00032,4,C
LR00032,5,N
LR00032,6,C
LR00032,7,O
LR00032,8,C
LR00032,9,C
LR00032,10,C
LR00032,11,C
LR00032,12,C
LR00032,13,C
LR00032,14,C
LR00032,15,O
LR00032,16,C
LR00032,17,O
LR00032,18,N
LR00033,0,O
LR00033,1,C
LR00033,2,C
LR00033,3,C
LR00033,4,C
LR00033,5,N
LR00033,6,C
LR00033,7,O
LR00033,8,C
LR00033,9,C
LR00033,10,C
LR00033,11,C
LR00033,12,C
LR00033,13,C
LR00033,14,C
LR00033,15,O
LR00033,16,C
LR00033,17,O
LR00033,18,N
LR00034,0,O
LR00034,1,C
LR00034,2,C
LR00034,3,C
LR00034,4,C
LR00034,5,N
LR00034,6,C
LR00034,7,O
LR00034,8,C
LR00034,9,C
LR00034,10,C
LR00034,11,C
LR00034,12,C
LR00034,13,C
LR00034,14,C
LR00034,15,O
LR00034,16,C
LR00034,17,O
LR00034,18,N
LR00035,0,O
LR00035,1,C
LR00035,2,C
LR00035,3,C
LR00035,4,C
LR00035,5,N
LR00035,6,C
LR00035,7,O
LR00035,8,C
LR00035,9,C
LR00035,10,C
LR00035,11,C
LR00035,12,C
LR00035,13,C
LR00035,14,C
LR00035,15,O
LR00035,16,C
LR00035,17,O
LR00035,18,N
LR00036,0,O
LR00036,1,C
LR00036,2,C
LR00036,3,C
LR00036,4,C
LR00036,5,N
LR00036,6,C
LR00036,7,O
LR00036,8,C
LR00036,9,C
LR00036,10,C
LR00036,11,C
LR00036,12,C
LR00036,13,C
LR00036,14,C
LR00036,15,O
LR00036,16,C
LR00036,17,O
LR00036,18,N
LR00037,0,O
LR00037,1,C
LR00037,2,C
LR00037,3,C
LR00037,4,C
LR00037,5,N
LR00037,6,C
LR00037,7,O
LR00037,8,C
LR00037,9,C
LR00037,10,C
LR00037,11,C
LR00037,12,C
LR00037,13,C
LR00037,14,C
LR00037,15,O
LR00037,16,C
LR00037,17,O
LR00037,18,N
LR00038,0,O
LR00038,1,C
LR00038,2,C
LR00038,3,C
LR00038,4,N
LR00038,5,C
LR00038,6,O
LR00038,7,O
LR00038,8,C
LR00038,9,C
LR00038,10,C
LR00038,11,C
LR00038,12,C
LR00038,13,C
LR00038,14,C
LR00038,15,C
LR00038,16,O
LR00038,17,N
LR00039,0,O
LR00039,1,C
LR00039,2,N
LR00039,3,C
LR00039,4,C
LR00039,5,C
LR00039,6,O
LR00039,7,N
LR00039,8,C
LR00039,9,O
LR00039,10,C
LR00039,11,C
LR00039,12,Cl
LR00039,13,C
LR00039,14,C
LR00039,15,Cl
LR00039,16,C
LR00039,17,C
LR00039,18,Cl
LR00040,0,O
LR00040,1,C
LR00040,2,C
LR00040,3,C
LR00040,4,C
LR00040,5,N
LR00040,6,C
LR00040,7,O
LR00040,8,C
LR00040,9,C
LR00040,10,C
LR00040,11,C
LR00040,12,C
LR00040,13,C
LR00040,14,C
LR00040,15,O
LR00040,16,C
LR00040,17,O
LR00040,18,N
LR00041,0,C
LR00041,1,C
LR00041,2,C
LR00041,3,C
LR00041,4,C
LR00041,5,O
LR00041,6,N
LR00041,7,C
LR00041,8,C
LR00041,9,C
LR00041,10,O
LR00041,11,N
LR00041,12,C
LR00041,13,O
LR00042,0,N
LR00042,1,C
LR00042,2,C
LR00042,3,C
LR00042,4,C
LR00042,5,C
LR00042,6,C
LR00042,7,C
LR00042,8,O
LR00042,9,N
LR00042,10,C
LR00042,11,C
LR00042,12,C
LR00042,13,C
LR00042,14,O
LR00042,15,N
LR00042,16,C
LR00042,17,O
LR00042,18,C
LR00042,19,O
LR00043,0,O
LR00043,1,C
LR00043,2,C
LR00043,3,C
LR00043,4,C
LR00043,5,N
LR00043,6,C
LR00043,7,C
LR00043,8,C
LR00043,9,C
LR00043,10,C
LR00043,11,N
LR00043,12,C
LR00043,13,O
LR00043,14,C
LR00043,15,F
LR00043,16,F
LR00043,17,C
LR00043,18,C
LR00043,19,C
LR00043,20,C
LR00043,21,Cl
LR00043,22,C
LR00043,23,C
