SMILES,RECRUITER_CODE
COC1CCC(N)C2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00064
OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,LR00065
NC1CCC(C(O)N[C@H]2CCC(O)NC2O)C(Cl)C1,LR00066
NC1CC[C@@H]([C@H](O)N[C@H]2CCC(O)NC2O)[C@H](C(F)(F)F)C1,LR00067
CC1CC(N)CCC1[C@H](O)N[C@H]1CC[C@H](O)NC1O,LR00068
CO[C@@H]1CC(N)CC[C@@H]1[C@H](O)N[C@H]1CC[C@H](O)NC1O,LR00069
NC1CC[C@H]([C@H](O)N[C@H]2CC[C@H](O)NC2O)C(O)C1,LR00070
COC1C(N)C(F)CC([C@H](O)N[C@H]2CC[C@H](O)N[C@@H]2O)[C@H]1F,LR00071
OC1CC[C@]2(CC(C3CCCCC3Cl)NO2)[C@H](O)N1,LR00072
OC1CC[C@]2(CC(C3CCC(Cl)CC3Cl)NO2)[C@H](O)N1,LR00073
O[C@@H]1N[C@@H](O)CC[C@]12CC([C@H]1CCCCC1N(O)O)NO2,LR00074
COC1CCCCC1C1C[C@]2(CCC(O)NC2O)ON1,LR00075
COC1CC[C@@H](C2C[C@]3(CC[C@H](O)N[C@H]3O)ON2)[C@H](OC)C1OC,LR00076
NCC1CCC(N2CCN(CC3CCC(COC4CCCC5C4CN([C@H]4CCC(O)NC4O)C5O)CC3)CC2)C(F)C1,LR00077
CC1NNC2N1C1CCC(C3CNN(CCCCCCCN4CCC(C5CCCC6C5CN([C@H]5CCC(O)NC5O)C6O)CC4)C3)CC1[C@H](C1CCC(Cl)CC1)NC21CC1,LR00078
NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,LR00079
NCC1CCC(N2CCN(CC3CCC(COC4CCCC5C4CN([C@H]4CCC(O)NC4O)C5O)CC3)CC2)C(F)C1,LR00080
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00081
OC1CC[C@H](N2C(O)C3CCC(N4CCOCC4)CC3C2O)C(O)N1,LR00082
OC1CC[C@H](N2C(O)C3CCC(N4CCOCC4)CC3C2O)C(O)N1,LR00083
CCN1CCCC[C@@H]1[C@@H](C)OC1CCC2C(C1)CN([C@H]1CCC(O)NC1O)C2O,LR00084
OC1CC[C@H](N2CC3C(OCC4CCC(CN5CCOCC5)CC4)CCCC3C2O)C(O)N1,LR00085
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00086
NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,LR00087
CN1C2CCCCC2N([C@H]2CCC(O)NC2O)[C@H]1O,LR00088
CC1CC(S(O)(O)C2CC3(CCN(CC4CCN([C@@H]5CCC6C(C5F)N(C)C(O)N6[C@@H]5CCC(O)NC5O)CC4)CC3)C2)CCC1NC1NCC2CCC(O)N(C3CCCC3)C2N1,LR00089
CCN1CCC2(CC2)[C@@H](OC2CCC3C(C2)CN([C@H]2CCC(O)NC2O)C3O)C1,LR00090
CCN1C[C@H](OC2CCC3C(C2)CN([C@H]2CCC(O)NC2O)C3O)CC[C@@H]1C,LR00091
OC1CC[C@H](N2C[C@H]3C4OCC5(CCN(CC6CCCCC6)CC5)[C@@H]4CC[C@@H]3[C@H]2O)[C@@H](O)N1,LR00092
CN1NC([C@H]2CCC(O)NC2O)C2CCC(NC3CCNCC3)CC21,LR00093
COC1CSCC1C1CN([C@H]2CCC(O)NC2O)NN1,LR00094
COC1CSCC1C1CN([C@H]2CCC(O)NC2O)NN1,LR00095
