Unified_Scaffold_ID,Supercluster_Key,Scaffold_Hash,Representative_Scaffold_SMILES,Representative_Murcko_SMILES,Scaffold_Class,Ligase_Count,Ligases,Ligase_Local_Scaffold_Count,Original_Scaffold_ID_Group,Recruiter_Count,Recruiter_Code_Group,Is_Cross_Ligase_Supercluster
LR-SCAF00183,826062c2,826062c2,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,C1CCC(N2CCN(CC3CCC(COC4CCCC5CN([C@H]6CCCNC6)CC54)CC3)CC2)CC1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_18,6,LR00055;LR00056;LR00057;LR00058;LR00077;LR00080,False
LR-SCAF00215,8fda97d5,8fda97d5,C1CCC(SNC2CCCC3CCNC32)CC1,C1CCC(SNC2CCCC3CCNC32)CC1,Polycyclic_Hetero,1,DCAF15,1,DCAF15_SCAF_1,6,LR00142;LR00143;LR00145;LR00146;LR00147;LR00148,False
LR-SCAF00232,9a4eb7a7,9a4eb7a7,C1CCC(CCN[C@H](CNCC2CCCCC2)CC2CCCCC2)CC1,C1CCC(CCN[C@H](CNCC2CCCCC2)CC2CCCCC2)CC1,Polycyclic_Hetero,1,SOCS2,1,SOCS2_SCAF_1,6,LR00381;LR00382;LR00383;LR00384;LR00385;LR00386,False
LR-SCAF00022,0d0ae2c3,0d0ae2c3,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,C1CCC(C2C[C@]3(CCCNC3)ON2)CC1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_20,5,LR00072;LR00073;LR00074;LR00075;LR00076,False
LR-SCAF00098,45c0b344,45c0b344,C1CCC([C@@H]2CC3CCCCC3C3NCCN32)CC1,C1CCC([C@@H]2CC3CCCCC3C3NCCN32)CC1,Polycyclic_Hetero,1,DCAF1,1,DCAF1_SCAF_4,5,LR00120;LR00121;LR00122;LR00123;LR00124,False
LR-SCAF00131,5bb4cd96,5bb4cd96,C1CCC(CC2CCC3NNNC3C2)CC1,C1CCC(CC2CCC3NNNC3C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_13,5,LR00174;LR00175;LR00184;LR00185;LR00186,False
LR-SCAF00333,e2518056,e2518056,C1CCC2NCCC2C1,C1CCC2NCCC2C1,Bicyclic_Hetero,1,MDM2,1,MDM2_SCAF_3,5,LR00261;LR00262;LR00263;LR00334;LR00341,False
LR-SCAF00080,392becf9,392becf9,C1CCC(CN2CCC3CCCCC3[C@H]2CN2CC3CCCCC3C2)CC1,C1CCC(CN2CCC3CCCCC3[C@H]2CN2CC3CCCCC3C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_3,4,LR00161;LR00166;LR00167;LR00189,False
LR-SCAF00220,92b2068f,92b2068f,C1CCC(N2CCNCC2)CC1,C1CCC(N2CCNCC2)CC1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_24,4,LR00415;LR00422;LR00431;LR00484,False
LR-SCAF00254,a90fce23,a90fce23,C1CCC([C@H]2CCCN[C@@H]2C2CCCCC2)CC1,C1CCC([C@H]2CCCN[C@@H]2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_16,4,LR00278;LR00279;LR00280;LR00301,False
LR-SCAF00296,c3c0f007,c3c0f007,C1CCC([C@@]2(OCC3CC3)[C@H]3CCCCC3CN2CC2CCCCN2)CC1,C1CCC([C@@]2(OCC3CC3)[C@H]3CCCCC3CN2CC2CCCCN2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_62,4,LR00353;LR00354;LR00355;LR00357,False
LR-SCAF00318,d3e00a53,d3e00a53,C1CC2CN([C@H]3CCCNC3)CC2C(OCC2CCC(CN3CCOCC3)CC2)C1,C1CC2CN([C@H]3CCCNC3)CC2C(OCC2CCC(CN3CCOCC3)CC2)C1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_4,4,LR00022;LR00048;LR00059;LR00085,False
LR-SCAF00051,2765e0b6,2765e0b6,C1CCC(CNC[C@@H]2CCCN2CCC2CCNO2)CC1,C1CCC(CNC[C@@H]2CCCN2CCC2CCNO2)CC1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_3,3,LR00497;LR00498;LR00530,False
LR-SCAF00056,2bb33eb6,2bb33eb6,C1CCC2C(C1)CC1CCCCC12,C1CCC2C(C1)CC1CCCCC12,Polycyclic,1,KEAP1,1,KEAP1_SCAF_41,3,LR00212;LR00213;LR00214,False
LR-SCAF00179,81c2d1e9,81c2d1e9,C1CCC(CNCCC2CCC3CCCCC3C2)CC1,C1CCC(CNCCC2CCC3CCCCC3C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_55,3,LR00231;LR00232;LR00233,False
LR-SCAF00187,836621cc,836621cc,C1CCC(C[C@H]2CN[C@H](C3CCCCC3)[C@H](C3CCCCC3)O2)CC1,C1CCC(C[C@H]2CN[C@H](C3CCCCC3)[C@H](C3CCCCC3)O2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_22,3,LR00289;LR00290;LR00291,False
LR-SCAF00295,c36e270e,c36e270e,C1CN[C@H](CNCC2CCC(C3CNCO3)CC2)C1,C1CN[C@H](CNCC2CCC(C3CNCO3)CC2)C1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_7,3,LR00502;LR00504;LR00505,False
LR-SCAF00345,e8cf6b39,e8cf6b39,C1CCC2NCCCC2C1,C1CCC2NCCCC2C1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_27,3,LR00419;LR00424;LR00425,False
LR-SCAF00015,0b61e353,0b61e353,C1CCC(CNCNC2NNC(C3CCCO3)O2)CC1,C1CCC(CNCNC2NNC(C3CCCO3)O2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_1,2,LR00158;LR00159,False
LR-SCAF00017,0c0fa4cc,0c0fa4cc,C1CCC(CN2CC[C@@H]3CCC(CC4CC[C@@H]5NNN[C@H]5C4)CC3C2)CC1,C1CCC(CN2CC[C@@H]3CCC(CC4CC[C@@H]5NNN[C@H]5C4)CC3C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_22,2,LR00191;LR00192,False
LR-SCAF00023,0d78dc29,0d78dc29,C1CC([C@@H]2CCC[C@H](CN3CCCC3)C2)CC(N2NCCC2C2CC2)C1,C1CC([C@@H]2CCC[C@H](CN3CCCC3)C2)CC(N2NCCC2C2CC2)C1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_29,2,LR00199;LR00221,False
LR-SCAF00025,0dad107d,0dad107d,C1CCC(C2(C3C[C@@H]4CCCCC4C4NCCN43)CC2)CC1,C1CCC(C2(C3C[C@@H]4CCCCC4C4NCCN43)CC2)CC1,Polycyclic_Hetero,1,DCAF1,1,DCAF1_SCAF_7,2,LR00128;LR00129,False
LR-SCAF00028,0f02df96,0f02df96,C1CCC(CN2CN[C@@H](C[C@H]3CNC4CCCCC43)C2)CC1,C1CCC(CN2CN[C@@H](C[C@H]3CNC4CCCCC43)C2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_12,2,LR00273;LR00274,False
LR-SCAF00040,1713e683,1713e683,C1CCC([C@H]2NCCO[C@@H]2C2CCCCC2)CC1,C1CCC([C@H]2NCCO[C@@H]2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_31,2,LR00303;LR00308,False
