Unified_Scaffold_ID,Supercluster_Key,Scaffold_Hash,Representative_Scaffold_SMILES,Representative_Murcko_SMILES,Scaffold_Class,Ligase_Count,Ligases,Ligase_Local_Scaffold_Count,Original_Scaffold_ID_Group,Recruiter_Count,Recruiter_Code_Group,Is_Cross_Ligase_Supercluster
LR-SCAF00349,ee411f57,ee411f57,C1CCC(CN2CN[C@@H](C3CCCCC3)[C@@H]2[C@H]2C(CN3CCCC3)N[C@H]3CCCC[C@H]23)CC1,C1CCC(CN2CN[C@@H](C3CCCCC3)[C@@H]2[C@H]2C(CN3CCCC3)N[C@H]3CCCC[C@H]23)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_7,2,LR00267;LR00268,False
LR-SCAF00359,f55f0cdc,f55f0cdc,C1CCC2OCCCC2C1,C1CCC2OCCCC2C1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_14,2,LR00400;LR00401,False
LR-SCAF00001,0083d9fe,0083d9fe,C1CCC(O[C@H]2CCNC2)CC1,C1CCC(O[C@H]2CCNC2)CC1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_43,1,LR00443,False
LR-SCAF00002,009a993d,009a993d,C1CC[C@@H]2COC[C@@H](NC[C@@H]3CCCN3)CNCCSCC2C1,C1CC[C@@H]2COC[C@@H](NC[C@@H]3CCCN3)CNCCSCC2C1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_48,1,LR00223,False
LR-SCAF00003,00b73929,00b73929,C1CCC(CN2CCCN(CC3CCCC4CCCCC43)C3CCCC[C@H]32)CC1,C1CCC(CN2CCCN(CC3CCCC4CCCCC43)C3CCCC[C@H]32)CC1,Polycyclic_Hetero,1,XIAP,1,XIAP_SCAF_8,1,LR00564,False
LR-SCAF00004,00b85fcf,00b85fcf,C1CCC(CN2CN[C@@H](C3CCCCC3)[C@@H]2[C@@H]2C3CCCCC3N[C@@H]2CN2CCCC2)CC1,C1CCC(CN2CN[C@@H](C3CCCCC3)[C@@H]2[C@@H]2C3CCCCC3N[C@@H]2CN2CCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_56,1,LR00344,False
LR-SCAF00006,032061a8,032061a8,C1CCC(C2NCC3NNCN3[C@@H]3SCC[C@H]23)CC1,C1CCC(C2NCC3NNCN3[C@@H]3SCC[C@H]23)CC1,Polycyclic_Hetero,1,DCAF16,1,DCAF16_SCAF_1,1,LR00151,False
LR-SCAF00007,043dd9aa,043dd9aa,C1CCN(CC2CCC(SNC3CCCC4CCNC43)O2)CC1,C1CCN(CC2CCC(SNC3CCCC4CCNC43)O2)CC1,Polycyclic_Hetero,1,DCAF15,1,DCAF15_SCAF_4,1,LR00150,False
LR-SCAF00008,053d8906,053d8906,C1CC[C@H]2NCCCC2C1,C1CC[C@H]2NCCCC2C1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_39,1,LR00439,False
LR-SCAF00009,0675e058,0675e058,C1CCC([C@H]2CNC[C@@]23CNC2CCCCC23)CC1,C1CCC([C@H]2CNC[C@@]23CNC2CCCCC23)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_23,1,LR00292,False
LR-SCAF00010,06f0bb70,06f0bb70,C1CCC(CN2CCNC2)CC1,C1CCC(CN2CCNC2)CC1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_29,1,LR00423,False
LR-SCAF00011,071ba927,071ba927,C1CCC(CNC[C@@H]2CNCC2C2CCCCC2)CC1,C1CCC(CNC[C@@H]2CNCC2C2CCCCC2)CC1,Polycyclic_Hetero,1,DCAF1,1,DCAF1_SCAF_16,1,LR00140,False
LR-SCAF00012,086ab553,086ab553,C1CNCC(C2NNC3C2CC[C@H]2CCCCC32)C1,C1CNCC(C2NNC3C2CC[C@H]2CCCCC32)C1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_11,1,LR00172,False
LR-SCAF00013,0a042f59,0a042f59,C1CCC(CC2CNC3CCN(CCN4CC[NH2+]C[C@@H]4CN4CC5CCCCC5C4)C3C2)CC1,C1CCC(CC2CNC3CCN(CCN4CC[NH2+]C[C@@H]4CN4CC5CCCCC5C4)C3C2)CC1,Polycyclic_Hetero,1,XIAP,1,XIAP_SCAF_24,1,LR00587,False
LR-SCAF00014,0b44a4fd,0b44a4fd,C1CCN(CC[C@@H]2CCNO2)C1,C1CCN(CC[C@@H]2CCNO2)C1,Bicyclic_Hetero,1,VHL,1,VHL_SCAF_8,1,LR00503,False
LR-SCAF00016,0bf24258,0bf24258,C1CCC(CC2CNC3CCN(CCN4CC[NH2+]C[C@@H]4CN4CCCC4)C3C2)CC1,C1CCC(CC2CNC3CCN(CCN4CC[NH2+]C[C@@H]4CN4CCCC4)C3C2)CC1,Polycyclic_Hetero,1,XIAP,1,XIAP_SCAF_22,1,LR00583,False
LR-SCAF00018,0c3aa7a7,0c3aa7a7,C1CCC(C2N[C@@H](C3NNNN3)[C@H](C3CCCCC3)N2C2CCCCC2)CC1,C1CCC(C2N[C@@H](C3NNNN3)[C@H](C3CCCCC3)N2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_57,1,LR00345,False
LR-SCAF00019,0c44a538,0c44a538,C1CCC(C2NCN(CN3CCNCC3)C2C2CCCCC2)CC1,C1CCC(C2NCN(CN3CCNCC3)C2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_20,1,LR00286,False
LR-SCAF00021,0ccf5625,0ccf5625,C1CCC([C@H]2C3CCCCC3CCN2C2CCC(NCC3CCNCC3)CC2)CC1,C1CCC([C@H]2C3CCCCC3CCN2C2CCC(NCC3CCNCC3)CC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_42,1,LR00317,False
LR-SCAF00024,0da27555,0da27555,C1CCC(NC[C@@H]2NC[C@@]3(CNC4CCSC43)[C@H]2C2CCCCC2)CC1,C1CCC(NC[C@@H]2NC[C@@]3(CNC4CCSC43)[C@H]2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_27,1,LR00296,False
LR-SCAF00026,0e582485,0e582485,C1CCC(CC2CC3C(CCN3CCN3CC[NH2+]CC3)CN2)CC1,C1CCC(CC2CC3C(CCN3CCN3CC[NH2+]CC3)CN2)CC1,Polycyclic_Hetero,1,XIAP,1,XIAP_SCAF_18,1,LR00577,False
LR-SCAF00027,0ee46d59,0ee46d59,C1CNC[C@@H](N2CC3C4OCC5(CCNCC5)C4CC[C@@H]3C2)C1,C1CNC[C@@H](N2CC3C4OCC5(CCNCC5)C4CC[C@@H]3C2)C1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_37,1,LR00105,False
LR-SCAF00029,0faf60ca,0faf60ca,C1CNCC(CNCC2CC2)C1,C1CNCC(CNCC2CC2)C1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_51,1,LR00456,False
LR-SCAF00030,0fbb2ced,0fbb2ced,C1CCCC(NCCOC2CCC3CCCCC3C2)CC1,C1CCCC(NCCOC2CCC3CCCCC3C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_65,1,LR00243,False
LR-SCAF00032,12507afe,12507afe,C1CCC([C@@H](CCN2CCCC2)NC2NN[C@@H]([C@@H]3CNC4CCCCC43)O2)NC1,C1CCC([C@@H](CCN2CCCC2)NC2NN[C@@H]([C@@H]3CNC4CCCCC43)O2)NC1,Polycyclic_Hetero,1,CHIP,1,CHIP_SCAF_2,1,LR00002,False
LR-SCAF00033,12b930c3,12b930c3,C1CCC(CN2CCC[C@H]2CNCC2CCC([C@H]3CNCS3)CC2)CC1,C1CCC(CN2CCC[C@H]2CNCC2CCC([C@H]3CNCS3)CC2)CC1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_6,1,LR00501,False
LR-SCAF00034,13116fd1,13116fd1,C1CCC2CN([C@H]3CCNC3)CC2C1,C1CCC2CN([C@H]3CCNC3)CC2C1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_8,1,LR00031,False
LR-SCAF00036,14f6f8f5,14f6f8f5,C1CC[C@@H]2CCC3CNCNC3C2C1,C1CC[C@@H]2CCC3CNCNC3C2C1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_10,1,LR00171,False
LR-SCAF00037,1511e832,1511e832,CC(C)[C@H](NC(O)[C@H](C)[NH3+])C(N)O,,Acyclic,1,XIAP,1,XIAP_SCAF_1511e832,1,LR00569,False
LR-SCAF00038,15b30740,15b30740,C1CCC2(CCCC2)OC1,C1CCC2(CCCC2)OC1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_68,1,LR00473,False
LR-SCAF00039,169d2e4b,169d2e4b,C1C[C@@H](CNCC2CCC([C@H]3CNCS3)CC2)N(CCNCC2CC2)C1,C1C[C@@H](CNCC2CCC([C@H]3CNCS3)CC2)N(CCNCC2CC2)C1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_17,1,LR00529,False
LR-SCAF00041,178aadff,178aadff,C1C[C@@H](CNCC2CCC(C3CNCS3)CC2)N(C[C@H](CSC[C@H]2CC[C@H](CN3CCOCC3)CC2)NCC2CC2)C1,C1C[C@@H](CNCC2CCC(C3CNCS3)CC2)N(C[C@H](CSC[C@H]2CC[C@H](CN3CCOCC3)CC2)NCC2CC2)C1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_29,1,LR00545,False
LR-SCAF00042,1abbb07f,1abbb07f,C1CCN(CC2CCCC(C3CCCC(N4NCCC4[C@@H]4C[C@H]4C4CNNN4)C3)C2)CC1,C1CCN(CC2CCCC(C3CCCC(N4NCCC4[C@@H]4C[C@H]4C4CNNN4)C3)C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_47,1,LR00222,False
LR-SCAF00043,1bd1f33b,1bd1f33b,CCOCCOCC.COCCOCCOCCO,,Acyclic,1,XIAP,1,XIAP_SCAF_1bd1f33b,1,LR00588,False
LR-SCAF00044,1cb86c8a,1cb86c8a,C1CCC(CN2CCOCC2)CC1,C1CCC(CN2CCOCC2)CC1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_62,1,LR00467,False
LR-SCAF00045,1f579ed4,1f579ed4,C1CCC(CCN2C[C@H]3C[C@@H]4C[C@@H]4N3C[C@H]2CN[C@@H]2CCOC3CCCCC32)CC1,C1CCC(CCN2C[C@H]3C[C@@H]4C[C@@H]4N3C[C@H]2CN[C@@H]2CCOC3CCCCC32)CC1,Polycyclic_Hetero,1,cIAP1,1,cIAP1_SCAF_7,1,LR00597,False
LR-SCAF00046,1fad0399,1fad0399,C1CCC(CN2CCC3CCC(CC4CCC5NNNC5C4)CC3C2)CC1,C1CCC(CN2CCC3CCC(CC4CCC5NNNC5C4)CC3C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_23,1,LR00193,False
LR-SCAF00047,1fbf69f8,1fbf69f8,C1CCC2C(CCNC[C@@H]3CCCN3CC3COCN3)CNC2C1,C1CCC2C(CCNC[C@@H]3CCCN3CC3COCN3)CNC2C1,Polycyclic_Hetero,1,XIAP,1,XIAP_SCAF_4,1,LR00557,False
LR-SCAF00048,212e4828,212e4828,C1CCC([C@H]2CCN[C@@]23CNC2CCCCC23)CC1,C1CCC([C@H]2CCN[C@@]23CNC2CCCCC23)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_45,1,LR00323,False
LR-SCAF00049,24459e25,24459e25,C1CCC(SNC2CCCC(N3NCCC3C3CC3)C2)CC1,C1CCC(SNC2CCCC(N3NCCC3C3CC3)C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_32,1,LR00202,False
LR-SCAF00050,25ff9195,25ff9195,C1CCC2SC3CCCCC3NC2C1,C1CCC2SC3CCCCC3NC2C1,Polycyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_72,1,LR00485,False
LR-SCAF00052,2791a328,2791a328,C1CC2COC[C@@H](NC[C@@H]3CCCN3)CNCCSCC2C(C2CCCC3NONC32)C1,C1CC2COC[C@@H](NC[C@@H]3CCCN3)CNCCSCC2C(C2CCCC3NONC32)C1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_50,1,LR00225,False
LR-SCAF00054,2a117df0,2a117df0,C1C[C@@H](CNCC2CCC(C3CNCS3)CC2)N(CC[C@@H]2CCNO2)C1,C1C[C@@H](CNCC2CCC(C3CNCS3)CC2)N(CC[C@@H]2CCNO2)C1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_19,1,LR00532,False
LR-SCAF00055,2b3918c7,2b3918c7,C1CCC(NCCOC2CCCC(N3CCCCC3)C2)CC1,C1CCC(NCCOC2CCCC(N3CCCCC3)C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_64,1,LR00242,False
LR-SCAF00057,2bcd9a35,2bcd9a35,C1C[C@@H](CNCC2CCC([C@H]3CNCS3)CC2)N(CC[C@@H]2CCNO2)C1,C1C[C@@H](CNCC2CCC([C@H]3CNCS3)CC2)N(CC[C@@H]2CCNO2)C1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_26,1,LR00541,False
LR-SCAF00058,2bf86e3e,2bf86e3e,CC(C)C[C@H](N)CNCO,,Acyclic,1,MDM2,1,MDM2_SCAF_2bf86e3e,1,LR00373,False
LR-SCAF00059,2d9e0be4,2d9e0be4,C1CC(N2[C@@H]3CC[C@H]2COC3)C[C@@H]([C@H]2CCCC3CN(CC4CCC(N5CC6(CCC6)C5)CC4)COC32)C1,C1CC(N2[C@@H]3CC[C@H]2COC3)C[C@@H]([C@H]2CCCC3CN(CC4CCC(N5CC6(CCC6)C5)CC4)COC32)C1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_71,1,LR00250,False
LR-SCAF00060,2dd93745,2dd93745,C1CNC[C@@H](N2CC([C@H]3CCSC3)NN2)C1,C1CNC[C@@H](N2CC([C@H]3CCSC3)NN2)C1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_35,1,LR00103,False
LR-SCAF00061,2ddaaf80,2ddaaf80,C1C[C@@H](CNCC2CCC(C3CNCS3)CC2)N(CCN2CC(C3CC3)NN2)C1,C1C[C@@H](CNCC2CCC(C3CNCS3)CC2)N(CCN2CC(C3CC3)NN2)C1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_27,1,LR00543,False
LR-SCAF00062,2f999cf2,2f999cf2,C1CCC(CN2CNC3CC([C@H]4NCON4)NC(C4CCCNC4)C32)CC1,C1CCC(CN2CNC3CC([C@H]4NCON4)NC(C4CCCNC4)C32)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_67,1,LR00364,False
LR-SCAF00063,3091a07a,3091a07a,C1CCC(N2CCCC2)CC1,C1CCC(N2CCCC2)CC1,Bicyclic_Hetero,1,VHL,1,VHL_SCAF_16,1,LR00528,False
LR-SCAF00064,31cd49bd,31cd49bd,C1CNC2[C@H](CNC3CC3)CNN2C1,C1CNC2[C@H](CNC3CC3)CNN2C1,Polycyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_10,1,LR00396,False
LR-SCAF00065,327c8c7c,327c8c7c,C1CCC(COC2C[C@@H](NSC3CCCCC3)CC[C@H]2NSC2CCCCC2)CC1,C1CCC(COC2C[C@@H](NSC3CCCCC3)CC[C@H]2NSC2CCCCC2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_19,1,LR00182,False
LR-SCAF00066,32fb4803,32fb4803,C1CNC2NCNN2C1,C1CNC2NCNN2C1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_1,1,LR00387,False
LR-SCAF00068,33529d62,33529d62,C1CCC(N2CC3CCCCC3NC2CN2CCNCC2)CC1,C1CCC(N2CC3CCCCC3NC2CN2CCNCC2)CC1,Polycyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_73,1,LR00486,False
LR-SCAF00070,34ce397c,34ce397c,C1CCC(CCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,C1CCC(CCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_11,1,LR00043,False
LR-SCAF00071,355b794b,355b794b,C1CCN([C@H]2NNCS2)CC1,C1CCN([C@H]2NNCS2)CC1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_59,1,LR00464,False
LR-SCAF00072,35770470,35770470,C1CCC([C@H]2[C@@H]3NC(C4CNCNC4)NC3CN2C2CCCNC2)CC1,C1CCC([C@H]2[C@@H]3NC(C4CNCNC4)NC3CN2C2CCCNC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_50,1,LR00329,False
LR-SCAF00073,3601580f,3601580f,C1NCC(C2NCCS2)N1,C1NCC(C2NCCS2)N1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_34,1,LR00432,False
LR-SCAF00074,365c2417,365c2417,C1CC[C@@H](N2CCC[C@H](CNCC3CCC([C@H]4CNCS4)CC3)C2)NC1,C1CC[C@@H](N2CCC[C@H](CNCC3CCC([C@H]4CNCS4)CC3)C2)NC1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_23,1,LR00538,False
LR-SCAF00076,37069af6,37069af6,C1CCC([C@H]2CN[C@@H](C3CCCCC3)N2C2CCCCC2)CC1,C1CCC([C@H]2CN[C@@H](C3CCCCC3)N2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_35,1,LR00309,False
LR-SCAF00077,373a41fe,373a41fe,C1CCC(N2NCC[C@H]2C2CC2)CC1,C1CCC(N2NCC[C@H]2C2CC2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_27,1,LR00197,False
LR-SCAF00078,37b3cd5b,37b3cd5b,C1CCC([C@H]2[C@H]3[C@H](CC4C5CCCCC5NN43)N(CC3CC3)[C@@]23CNC2CCCCC23)CC1,C1CCC([C@H]2[C@H]3[C@H](CC4C5CCCCC5NN43)N(CC3CC3)[C@@]23CNC2CCCCC23)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_70,1,LR00372,False
LR-SCAF00079,37d997fe,37d997fe,C1CCC(CCN2C[C@H]3CCCN3C[C@H]2CN[C@@H]2CCCC3CCCCC32)CC1,C1CCC(CCN2C[C@H]3CCCN3C[C@H]2CN[C@@H]2CCCC3CCCCC32)CC1,Polycyclic_Hetero,1,cIAP1,1,cIAP1_SCAF_5,1,LR00595,False
LR-SCAF00083,3ceaa0de,3ceaa0de,C1CCC([C@@H]2CN(NC[C@H]3CNC4CCCCC43)CN2)CC1,C1CCC([C@@H]2CN(NC[C@H]3CNC4CCCCC43)CN2)CC1,Polycyclic_Hetero,1,CHIP,1,CHIP_SCAF_3,1,LR00003,False
LR-SCAF00084,3dcd0ae8,3dcd0ae8,C1CCC(CNCC2CCCC3CC4CCCCC4C23)CC1,C1CCC(CNCC2CCCC3CC4CCCCC4C23)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_42,1,LR00215,False
LR-SCAF00085,3e761c10,3e761c10,C1CCC(SNC2NC[C@H](NSC3CCCCC3)C3CCCC[C@H]23)CC1,C1CCC(SNC2NC[C@H](NSC3CCCCC3)C3CCCC[C@H]23)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_24,1,LR00194,False
LR-SCAF00086,3f56c184,3f56c184,C1CCC(CN2CNC(C3CCCCC3)[C@@H]2[C@H]2CNC3CCCCC32)CC1,C1CCC(CN2CNC(C3CCCCC3)[C@@H]2[C@H]2CNC3CCCCC32)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_8,1,LR00269,False
LR-SCAF00087,3fb6ede7,3fb6ede7,C1CCC([C@H]2C3CCCCC3CCN2C2CCC(NC[C@H]3CC[C@H](N4CCNCC4)CC3)CC2)CC1,C1CCC([C@H]2C3CCCCC3CCN2C2CCC(NC[C@H]3CC[C@H](N4CCNCC4)CC3)CC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_41,1,LR00316,False
LR-SCAF00089,40f65361,40f65361,C1CCC(COC2CCC([C@@]34CN3C4[C@H]3CNC4CCCCC43)CC2)CC1,C1CCC(COC2CCC([C@@]34CN3C4[C@H]3CNC4CCCCC43)CC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_28,1,LR00297,False
LR-SCAF00090,413c3ba4,413c3ba4,C1CCC(C2NC(C3CCCCC3)C(C3CCCCC3)N2)CC1,C1CCC(C2NC(C3CCCCC3)C(C3CCCCC3)N2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_19,1,LR00285,False
LR-SCAF00092,4168d13e,4168d13e,C1CCC(C(C2CCCCC2)N2CCC2)CC1,C1CCC(C(C2CCCCC2)N2CCC2)CC1,Polycyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_5,1,LR00391,False
LR-SCAF00094,41e54732,41e54732,C1CCC(C2CCCCC2)CC1,C1CCC(C2CCCCC2)CC1,Bicyclic,1,TRIM21,1,TRIM21_SCAF_41,1,LR00441,False
LR-SCAF00095,4201b5e7,4201b5e7,C1CC(C2NCNO2)CCN1,C1CC(C2NCNO2)CCN1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_31,1,LR00427,False
LR-SCAF00096,44341e76,44341e76,C1CCC(CC2CNC3CCN(CCN4CC[NH2+]CC4)C3C2)CC1,C1CCC(CC2CNC3CCN(CCN4CC[NH2+]CC4)C3C2)CC1,Polycyclic_Hetero,1,XIAP,1,XIAP_SCAF_20,1,LR00580,False
LR-SCAF00099,45d0eae5,45d0eae5,C1CCC2N[C@@H](CNCCN[C@H]3CC[C@@H](C4NC5CCCCC5N4)CC3)CC2C1,C1CCC2N[C@@H](CNCCN[C@H]3CC[C@@H](C4NC5CCCCC5N4)CC3)CC2C1,Polycyclic_Hetero,1,GID4,1,GID4_SCAF_1,1,LR00152,False
LR-SCAF00102,47ad247e,47ad247e,C1CN[C@H](CNCC2CCC([C@H]3CNCS3)CC2)C1,C1CN[C@H](CNCC2CCC([C@H]3CNCS3)CC2)C1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_11,1,LR00511,False
LR-SCAF00103,4854b51b,4854b51b,C1CCC(C[C@@]2([C@H]3CCCNC3)CNC3CCCCC32)CC1,C1CCC(C[C@@]2([C@H]3CCCNC3)CNC3CCCCC32)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_25,1,LR00294,False
LR-SCAF00106,4af46abe,4af46abe,C1CCC(CN2CC3NC(C4CNCNC4)NC3[C@@H]2C2CCCCC2)CC1,C1CCC(CN2CC3NC(C4CNCNC4)NC3[C@@H]2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_59,1,LR00348,False
LR-SCAF00107,4c4bef8e,4c4bef8e,C1COC(CN2CCNCC2)C1,C1COC(CN2CCNCC2)C1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_48,1,LR00450,False
LR-SCAF00108,4c5b1339,4c5b1339,C1CCC(CNCC2CNC(CCCN3CCCCC3)C2C2CCCCC2)CC1,C1CCC(CNCC2CNC(CCCN3CCCCC3)C2C2CCCCC2)CC1,Polycyclic_Hetero,1,DCAF1,1,DCAF1_SCAF_15,1,LR00139,False
LR-SCAF00109,4cab11d7,4cab11d7,C1CCC(CNCC2CCC(C3CCCCC3)CC2)CC1,C1CCC(CNCC2CCC(C3CCCCC3)CC2)CC1,Polycyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_78,1,LR00492,False
LR-SCAF00110,4d6e1598,4d6e1598,C1CCC2C(C1)C1NNN[C@@H]1C1CCCCC1[C@@H]1NNNC21,C1CCC2C(C1)C1NNN[C@@H]1C1CCCCC1[C@@H]1NNNC21,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_43,1,LR00319,False
LR-SCAF00111,4d932007,4d932007,C1CNN(C2CC[NH2+]CC2)C1,C1CNN(C2CC[NH2+]CC2)C1,Bicyclic_Hetero,1,XIAP,1,XIAP_SCAF_12,1,LR00570,False
LR-SCAF00112,5071bba5,5071bba5,C1CCC([C@H]2C3CN(C4CCCCC4)NC3CN2C2CCCCC2)CC1,C1CCC([C@H]2C3CN(C4CCCCC4)NC3CN2C2CCCCC2)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_49,1,LR00327,False
LR-SCAF00113,50e510ac,50e510ac,C1CC2CC(C3CSCN3)CCC2N1,C1CC2CC(C3CSCN3)CCC2N1,Polycyclic_Hetero,1,TRIM24,1,TRIM24_SCAF_1,1,LR00493,False
LR-SCAF00116,53403914,53403914,C1CC2CN([C@H]3CCCNC3)CC2C(NCC2CCC(CN3CC(N4CCOCC4)C3)CC2)C1,C1CC2CN([C@H]3CCCNC3)CC2C(NCC2CCC(CN3CC(N4CCOCC4)C3)CC2)C1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_44,1,LR00113,False
LR-SCAF00117,53e91f1f,53e91f1f,C1CNC[C@@H](N2CC3CCC(N4[C@@H]5CCC[C@H]4CC5)CC3C2)C1,C1CNC[C@@H](N2CC3CCC(N4[C@@H]5CCC[C@H]4CC5)CC3C2)C1,Polycyclic_Hetero,1,CRBN,1,CRBN_SCAF_32,1,LR00100,False
LR-SCAF00118,5429c8b4,5429c8b4,C1CCC(SN[C@H]2CC[C@@H](NSC3CCCCC3)C3CCCCC32)CC1,C1CCC(SN[C@H]2CC[C@@H](NSC3CCCCC3)C3CCCCC32)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_5,1,LR00164,False
LR-SCAF00120,546ff65b,546ff65b,C1COC(CN2CCSCC2)C1,C1COC(CN2CCSCC2)C1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_54,1,LR00459,False
LR-SCAF00121,553161db,553161db,C1CCC(CNC[C@@H]2CNNC2C2CCCCC2)CC1,C1CCC(CNC[C@@H]2CNNC2C2CCCCC2)CC1,Polycyclic_Hetero,1,DCAF1,1,DCAF1_SCAF_3,1,LR00119,False
LR-SCAF00122,55516ce1,55516ce1,C1C[C@@H](CNCC2CCC(C3CNCS3)CC2)N(CCNCC2COC2)C1,C1C[C@@H](CNCC2CCC(C3CNCS3)CC2)N(CCNCC2COC2)C1,Polycyclic_Hetero,1,VHL,1,VHL_SCAF_15,1,LR00522,False
LR-SCAF00123,561ef090,561ef090,C1CCC(SN[C@H]2CCCC(N3NCCC3[C@H]3C[C@@H]3C3CCCCC3)C2)CC1,C1CCC(SN[C@H]2CCCC(N3NCCC3[C@H]3C[C@@H]3C3CCCCC3)C2)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_37,1,LR00208,False
LR-SCAF00125,56acc5a7,56acc5a7,C1CCC(SNC2CCC(NSC3CCCCC3)C3CCCCC23)CC1,C1CCC(SNC2CCC(NSC3CCCCC3)C3CCCCC23)CC1,Polycyclic_Hetero,1,KEAP1,1,KEAP1_SCAF_7,1,LR00168,False
LR-SCAF00126,5999df73,5999df73,C1CCC(CCN2CCCCC2)CC1,C1CCC(CCN2CCCCC2)CC1,Bicyclic_Hetero,1,TRIM21,1,TRIM21_SCAF_42,1,LR00442,False
LR-SCAF00127,59a4b7b9,59a4b7b9,C1CCC(CN2C(CC3CC3)NC3C[C@@H]([C@H]4NCON4)NC(C4CCCNC4)C32)CC1,C1CCC(CN2C(CC3CC3)NC3C[C@@H]([C@H]4NCON4)NC(C4CCCNC4)C32)CC1,Polycyclic_Hetero,1,MDM2,1,MDM2_SCAF_68,1,LR00365,False
