Ligase,Scaffold_ID,Recruiter_Count,Scaffold_Hash,Original_Scaffold_ID_Group
cIAP1,LR-SCAF00067,3,333d7b8c,cIAP1_SCAF_6
cIAP1,LR-SCAF00005,1,00e15ffe,cIAP1_SCAF_3
cIAP1,LR-SCAF00045,1,1f579ed4,cIAP1_SCAF_7
cIAP1,LR-SCAF00053,1,27da9cc8,cIAP1_SCAF_1
cIAP1,LR-SCAF00079,1,37d997fe,cIAP1_SCAF_5
cIAP1,LR-SCAF00100,1,45f0c228,cIAP1_SCAF_10
cIAP1,LR-SCAF00124,1,56715195,cIAP1_SCAF_9
cIAP1,LR-SCAF00136,1,5f5a5983,cIAP1_SCAF_11
cIAP1,LR-SCAF00140,1,626f25b5,cIAP1_SCAF_2
cIAP1,LR-SCAF00231,1,9970801b,cIAP1_SCAF_4
cIAP1,LR-SCAF00326,1,de9a4163,cIAP1_SCAF_8
