SMILES,Recruiter_1,Recruiter_2,Recruiter_3,Recruiter_4,Recruiter_5,Recruiter_6,Recruiter_7,Recruiter_8,Recruiter_9,Recruiter_10,Recruiter_11,Recruiter_12,Recruiter_13,Recruiter_14,Recruiter_15,Recruiter_16,Recruiter_17,Recruiter_18,Recruiter_19,Recruiter_20
CC(C)(C)NC(O)[C@@H]([C@@H]1C2CCC(Cl)CC2NC1C(O)O)N(CO)CC1CC(F)C(F)C(F)C1,LR00328,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(O)[C@@]1([C@@H]2C3CCC(Cl)CC3NC2C(O)O)N2[C@H](O)[C@]21C1CCC(OCC2CCC(Cl)CC2)CC1,LR00297,,,,,,,,,,,,,,,,,,,
CC(C)(C)NC(O)[C@H](C1C2CCC(Cl)CC2NC1C(O)O)N(CO)CC1CCC(Cl)CC1,LR00271,,,,,,,,,,,,,,,,,,,
CC(C)(C)N[C@@H](O)C([C@@H]1C2CCC(Cl)CC2NC1C(O)O)N(CO)CC1CCC(F)C(F)C1,LR00272,,,,,,,,,,,,,,,,,,,
CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@@H](CC(O)O)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00302,,,,,,,,,,,,,,,,,,,
CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@@](C)(CC2CCC(C(O)O)CN2)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00307,,,,,,,,,,,,,,,,,,,
CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@@](C)(C[C@H]2CCC(C(O)O)CN2)C[C@H](C2CCCC(Cl)C2)[C@H]1[C@H]1CC[C@H](Cl)CC1,LR00306,,,,,,,,,,,,,,,,,,,
CC(C)(C)S(O)(O)C[C@H](C1CC1)N1C(O)[C@](C)(CC2CCC(C(O)O)CN2)O[C@H](C2CCCC(Cl)C2)[C@H]1C1CCC(Cl)CC1,LR00305,,,,,,,,,,,,,,,,,,,
CC(C)(C)S(O)(O)C[C@H](C1CC1)N1[C@H](C2CCC(Cl)C(F)C2)[C@@H](C2CCCC(Cl)C2)C[C@](C)(CC2NCC(CC(O)O)S2)[C@H]1O,LR00304,,,,,,,,,,,,,,,,,,,
CC(C)(CC1CCCCC1)C1CC2CCCCC2C2NCCN21,LR00126,LR00127,,,,,,,,,,,,,,,,,,
CC(C)(O)C1CC(F)[C@H]2C(C1)C(O)N(CC1CCC(Cl)CN1)[C@@]2(OCC1(O)CC1)C1CCC(Cl)CC1,LR00354,,,,,,,,,,,,,,,,,,,
CC(C)(O)[C@@H]1CC(F)[C@H]2C(C1)C(O)N(CC1CCC(CN)CN1)[C@@]2(OCC1(CO)CC1)[C@H]1CC[C@@H](Cl)CC1,LR00355,,,,,,,,,,,,,,,,,,,
CC(C)(O)[C@@H]1CC(F)[C@H]2C(C1)C(O)N(CC1CCC(Cl)CN1)[C@@]2(OCC1(C(N)O)CC1)C1CCC(Cl)CC1,LR00353,,,,,,,,,,,,,,,,,,,
CC(C)(O)[C@@H]1CC(F)[C@H]2C(C1)C(O)N(CC1CC[C@@H](Cl)CN1)[C@@]2(OCC1(CO)CC1)[C@H]1CC[C@@H](Cl)CC1,LR00357,,,,,,,,,,,,,,,,,,,
CC(C)C1NNC2C1[C@H]([C@@H]1CCC(Cl)CC1C)N(C1CCCC(Cl)C1F)C2O,LR00343,,,,,,,,,,,,,,,,,,,
CC(C)CC(O)N[C@H]1C[C@H](O)NC1O,LR00041,,,,,,,,,,,,,,,,,,,
CC(C)C[C@@H](CO)N[C@@H](C)O,LR00318,,,,,,,,,,,,,,,,,,,
CC(C)C[C@H](N)CNCO,LR00373,,,,,,,,,,,,,,,,,,,
CC(C)C[C@H](NC(C)O)C(O)N[C@H](C(O)N1C[C@H](O)C[C@H]1C(O)NCC1CCC([C@@H]2SCNC2C)CC1)C(C)(C)C,LR00511,,,,,,,,,,,,,,,,,,,
CC(C)C[C@H](N[C@H](C1C2CCC(Cl)CC2N[C@H]1[C@@H](O)NO)[C@@H](O)NCC1CCCCC1)[C@@H](O)NO,LR00298,LR00299,,,,,,,,,,,,,,,,,,
CC(C)N(C)C1NCNC2C1CNN2C,LR00403,LR00404,,,,,,,,,,,,,,,,,,
CC(C)N1CCN(C(O)[C@H]2CCCS2)CC1,LR00468,,,,,,,,,,,,,,,,,,,
CC(C)N1CCN(CC2CCCCC2F)CC1,LR00551,,,,,,,,,,,,,,,,,,,
CC(C)OC1CCCC(C2CCCC(N3NCC(C([O-])O)C3C(F)(F)F)N2)C1,LR00216,,,,,,,,,,,,,,,,,,,
CC(C)[C@H](NC(O)[C@H](C)[NH3+])C(N)O,LR00569,,,,,,,,,,,,,,,,,,,
CC(C)[C@H]1[C@H]([C@H](O)N2CCC[C@H]2C(O)N(C)C)SC2N[C@@](C)(C3CCC(Cl)CC3)[C@@H](C3CCC(Cl)CC3)N21,LR00275,,,,,,,,,,,,,,,,,,,
CC(O)N1CC2C(C3CCC(C(O)N4CCCC5CCCCC54)CC3)CNN2C[C@@H]1CC1CCCCC1,LR00378,,,,,,,,,,,,,,,,,,,
CC(O)N1CCCC2(CCCCCC2)C1,LR00463,,,,,,,,,,,,,,,,,,,
CC(O)N1CCC[C@H](CNS(C)(O)O)C1,LR00408,,,,,,,,,,,,,,,,,,,
CC(O)N1CCC[C@H]([C@]2(CC3CCCC(Cl)C3)C(O)NC3CC(Cl)CCC32)C1,LR00294,,,,,,,,,,,,,,,,,,,
CC(O)N1CCC[C@H]1C(O)N[C@@H]1COC(O)C2CCCC(C3CCCC(C(O)O)C3)C2CSC[C@H](C(O)N(C)C)N[C@H]1O,LR00226,,,,,,,,,,,,,,,,,,,
CC(O)N1CCC[C@H]1C(O)N[C@@H]1COC(O)C2CCCCC2CSC[C@H](C(O)N(C)C)NC1O,LR00196,,,,,,,,,,,,,,,,,,,
CC(O)N1CCC[C@H]1C(O)N[C@@H]1COC(O)C2CCC[C@H](C3CCC(C(O)O)CC3)C2CSC[C@H](C(O)N(C)C)NC1O,LR00227,,,,,,,,,,,,,,,,,,,
CC(O)N1CCC[C@H]1C(O)N[C@@H]1CO[C@@H](O)C2CCCC(C3CCCC4NONC43)C2CSC[C@H](C(O)N(C)C)NC1O,LR00225,,,,,,,,,,,,,,,,,,,
CC(O)N1CCC[C@H]1[C@@H](O)N[C@@H]1CO[C@@H](O)[C@H]2CCCCC2C[S@H](O)C[C@H](C(O)N(C)C)NC1O,LR00223,,,,,,,,,,,,,,,,,,,
CC(O)N1CCN(C(N)O)CC1,LR00399,,,,,,,,,,,,,,,,,,,
CC(O)N1CCN(C2CCC(Cl)CC2)CC1,LR00484,,,,,,,,,,,,,,,,,,,
CC(O)N1CCN(C2CCC3C(C2)N[C@H](C2(C4CCC(Cl)CC4)CCCC2)NC3NCCN)CC1,LR00132,LR00133,,,,,,,,,,,,,,,,,,
CC(O)N1CCN([C@@H]2CC[C@H]3[C@H](NCCN)N[C@@H](C4(C5CCC(Cl)CC5)CCCCC4)N[C@@H]3C2)CC1,LR00134,LR00135,,,,,,,,,,,,,,,,,,
CC(O)N1C[C@H]2CC[C@@H]1C1CCCC[C@@H]12,LR00394,,,,,,,,,,,,,,,,,,,
CC(O)NC1(C(O)N[C@H](C(O)N2C[C@H](O)C[C@H]2[C@H](O)NCC2CCC(C3SCNC3C)CC2)C(C)(C)C)CC1,LR00520,,,,,,,,,,,,,,,,,,,
CC(O)NC1CC2OCOC2CC1C,LR00417,,,,,,,,,,,,,,,,,,,
CC(O)NC1CCC(CN2CCOCC2)CC1,LR00467,,,,,,,,,,,,,,,,,,,
CC(O)NC1CCC([C@H]2CCNO2)CC1,LR00181,,,,,,,,,,,,,,,,,,,
CC(O)NCC1CCNC(N(C)C)C1,LR00410,,,,,,,,,,,,,,,,,,,
CC(O)N[C@@H](C)[C@H](O)N1C[C@H](O)C[C@H]1C(O)NCC1CCC(C2SCNC2C)CC1,LR00518,,,,,,,,,,,,,,,,,,,
CC(O)N[C@@H](C)[C@H](O)N1C[C@H](O)C[C@H]1[C@H](S)NCC1CCC(C2SCNC2C)CC1,LR00523,,,,,,,,,,,,,,,,,,,
CC(O)N[C@@H](C)[C@H](S)N1C[C@H](O)C[C@H]1C(O)NCC1CCC(C2SCNC2C)CC1,LR00524,,,,,,,,,,,,,,,,,,,
CC(O)N[C@@H](C)[C@H](S)N1C[C@H](O)C[C@H]1[C@H](S)NCC1CCC(C2SCNC2C)CC1,LR00525,,,,,,,,,,,,,,,,,,,
