RECRUITER_CODE,SMILES,Canonical_SMILES,Formula,MW,Exact_MW,LogP,TPSA,HBA,HBD,Rotatable_Bonds,Ring_Count,Aromatic_Rings,Fraction_CSP3,Heavy_Atom_Count,Atom_Count,Chiral_Atoms,Formal_Charge,QED,SA_Score,BertzCT,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumSpiroAtoms,NumBridgeheadAtoms,NumAliphaticRings,NumAromaticRings,NumSaturatedRings,NumHeteroAtoms,MolMR,Lipinski_Violations,Lipinski_Pass,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,PAINS_Hits,Brenk_Hits,Reactive_SMARTS_Hits
LR00001,CNC(O)C[C@H](NC(O)[C@@H]1CCC[C@H]1N[C@@H](O)[C@@H]1NNC2CCCCC21)C1CCCCC1OC,CNC(O)C[C@H](NC(O)[C@@H]1CCC[C@H]1N[C@@H](O)[C@@H]1NNC2CCCCC21)C1CCCCC1OC,C25H49N5O4,483.6980000000004,483.378455048,0.5080000000000033,130.07,9,8,11,4,0,1.0,34,34,11,0,0.19815183597587677,,615.855076264799,-0.36,26.695948589843823,12.741944400769675,6.304627718823523,0,0,4,0,4,9,131.44590000000002,1,True,False,True,False,False,None,het-C-het_not_in_ring,Hydrazine
LR00002,CN(C1NN[C@@H]([C@@H]2CNC3C2[C@@H](F)[C@@H](F)[C@H](F)[C@H]3F)O1)[C@H](CCN1CCCC1)C1CCCCN1,CN(C1NN[C@@H]([C@@H]2CNC3C2[C@@H](F)[C@@H](F)[C@H](F)[C@H]3F)O1)[C@H](CCN1CCCC1)C1CCCCN1,C23H40F4N6O,492.60600000000045,492.31997278,1.2191000000000025,63.830000000000005,7,4,7,5,0,1.0,34,34,11,0,0.3989135358485825,,669.3716050965859,-0.56,25.10477189714369,10.819562181716883,4.857816939587459,0,0,5,0,5,11,120.77080000000007,0,True,True,True,False,True,None,None,Hydrazine
LR00003,OC1N[C@H](C2CCCCC2)C(O)N1N[C@H](O)[C@H]1CNC2C(F)C(F)C(F)C(F)C21,OC1N[C@H](C2CCCCC2)C(O)N1N[C@H](O)[C@H]1CNC2C(F)C(F)C(F)C(F)C21,C18H30F4N4O3,426.45500000000004,426.22540369999996,-0.17199999999999882,100.02,7,6,4,4,0,1.0,29,29,11,0,0.2742952421433908,,575.2243113998057,-0.56,21.66370491230115,8.523493767933367,3.791388768859387,0,0,4,0,4,11,94.84850000000003,1,True,True,True,True,False,None,het-C-het_not_in_ring,Hydrazine
LR00004,CN(C)S(O)(O)C[C@H]1CCCN(C(O)[C@H]2CNC3C(F)C(F)C(F)C(F)C32)C1,CN(C)S(O)(O)C[C@H]1CCCN(C(O)[C@H]2CNC3C(F)C(F)C(F)C(F)C32)C1,C17H31F4N3O3S,433.512,433.20222573200004,1.8142000000000003,79.2,6,4,5,3,0,1.0,28,28,9,0,0.49567466381062675,,549.7769944692752,-0.17000000000000004,22.513760664550226,8.522554174134132,4.165617146229708,0,0,3,0,3,11,100.06110000000005,0,True,True,True,True,True,None,None,None
LR00005,CN1NCC2C(NCC3CCCNC3)NC(C3CCCC(NC(S)NC4CCCC(C(F)(F)F)C4)C3)NC21,CN1NCC2C(NCC3CCCNC3)NC(C3CCCC(NC(S)NC4CCCC(C(F)(F)F)C4)C3)NC21,C26H49F3N8S,562.7950000000001,562.375299228,1.8854000000000044,87.45,9,8,8,5,0,1.0,38,38,10,0,0.16828241793182216,,741.7720218057198,-0.18000000000000008,29.317101855987758,13.20207299933904,7.554670982468929,0,0,5,0,5,12,147.07989999999992,2,False,True,True,False,False,None,het-C-het_not_in_ring; thiol_2,Hydrazine; Thiol
LR00006,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00007,NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,C13H25N3O3,271.361,271.18959166,-1.2471999999999988,101.98,6,5,1,3,0,1.0,19,19,7,0,0.4084916120705155,,330.2553026592533,-0.24000000000000002,13.72979518193057,5.272521116543027,2.4125703974846893,0,0,3,0,3,6,69.69050000000004,0,True,True,True,False,True,None,None,None
LR00008,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,C13H25N3O4,287.35999999999996,287.18450628,-1.928799999999998,122.21000000000001,7,6,1,3,0,1.0,20,20,8,0,0.3319810374305114,,358.50796993740744,-0.28,14.648695705259302,5.490434179613943,2.269502134546819,0,0,3,0,3,7,70.83030000000004,1,True,True,True,False,False,None,None,None
LR00009,NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,C13H25N3O3,271.361,271.18959166,-1.2471999999999988,101.98,6,5,1,3,0,1.0,19,19,7,0,0.4084916120705155,,330.2553026592533,-0.24000000000000002,13.72979518193057,5.272521116543027,2.4125703974846893,0,0,3,0,3,6,69.69050000000004,0,True,True,True,False,True,None,None,None
LR00010,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00011,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,C13H25N3O4,287.35999999999996,287.18450628,-1.928799999999998,122.21000000000001,7,6,1,3,0,1.0,20,20,8,0,0.3319810374305114,,358.50796993740744,-0.28,14.648695705259302,5.490434179613943,2.269502134546819,0,0,3,0,3,7,70.83030000000004,1,True,True,True,False,False,None,None,None
LR00012,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00013,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,C13H25N3O4,287.35999999999996,287.18450628,-1.928799999999998,122.21000000000001,7,6,1,3,0,1.0,20,20,8,0,0.3319810374305114,,358.50796993740744,-0.28,14.648695705259302,5.490434179613943,2.269502134546819,0,0,3,0,3,7,70.83030000000004,1,True,True,True,False,False,None,None,None
LR00014,NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,C13H25N3O3,271.361,271.18959166,-1.2471999999999988,101.98,6,5,1,3,0,1.0,19,19,7,0,0.4084916120705155,,330.2553026592533,-0.24000000000000002,13.72979518193057,5.272521116543027,2.4125703974846893,0,0,3,0,3,6,69.69050000000004,0,True,True,True,False,True,None,None,None
LR00015,OC[C@H]1O[C@@H](N2CCC(O)NC2O)C[C@@H]1O,OC[C@H]1O[C@@H](N2CCC(O)NC2O)C[C@@H]1O,C9H18N2O5,234.25200000000004,234.121571676,-2.655799999999998,105.42000000000002,7,5,2,2,0,1.0,16,16,5,0,0.3550578040155803,,241.93923454719788,-0.28,12.18416061903345,4.924778059940453,2.35226318359375,0,0,2,0,2,7,52.84290000000004,0,True,True,True,False,False,None,None,None
LR00016,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00017,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00018,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00019,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00020,NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,NC1CCCC2C1CN([C@H]1CCC(O)N[C@@H]1O)C2O,C13H25N3O3,271.361,271.18959166,-1.2471999999999988,101.98,6,5,1,3,0,1.0,19,19,7,0,0.4084916120705155,,330.2553026592533,-0.24000000000000002,13.72979518193057,5.272521116543027,2.4125703974846893,0,0,3,0,3,6,69.69050000000004,0,True,True,True,False,True,None,None,None
LR00021,CC1CCC(NC(O)NCC2CCC3C(C2)CN([C@H]2CCC(O)N[C@H]2O)[C@@H]3O)CC1Cl,CC1CCC(NC(O)NCC2CCC3C(C2)CN([C@H]2CCC(O)N[C@H]2O)[C@@H]3O)CC1Cl,C22H41ClN4O4,461.04700000000014,460.28163347199995,0.2928000000000017,120.25000000000001,8,7,6,4,0,1.0,31,31,11,0,0.22307184670211075,,589.7141547352633,-0.030000000000000027,24.1059137038352,10.488744957644736,5.729529690047133,0,0,4,0,4,9,118.79430000000005,1,True,True,True,True,False,None,alkyl_halide; het-C-het_not_in_ring,Alkyl halide
LR00022,OC1CC[C@H](N2CC3C(OCC4CCC(CN5CCOCC5)CC4)CCCC3C2O)C(O)N1,OC1CC[C@H](N2CC3C(OCC4CCC(CN5CCOCC5)CC4)CCCC3C2O)C(O)N1,C25H45N3O5,467.6510000000003,467.33592154,0.9493000000000029,97.66000000000001,8,4,6,5,0,1.0,33,33,7,0,0.45854655416105533,,612.8498039045343,-0.32,24.377756778837636,11.164798090655523,5.7477342774777505,0,0,5,0,5,8,124.16210000000008,0,True,True,True,True,True,None,None,None
LR00023,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00024,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00025,OC1CC[C@@H](N2C(O)[C@@H]3CCCC[C@H]3[C@@H]2O)[C@H](O)N1,OC1CC[C@@H](N2C(O)[C@@H]3CCCC[C@H]3[C@@H]2O)[C@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00026,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,C13H25N3O4,287.35999999999996,287.18450628,-1.928799999999998,122.21000000000001,7,6,1,3,0,1.0,20,20,8,0,0.3319810374305114,,358.50796993740744,-0.28,14.648695705259302,5.490434179613943,2.269502134546819,0,0,3,0,3,7,70.83030000000004,1,True,True,True,False,False,None,None,None
LR00027,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,NC1CCCC2C1C(O)N([C@H]1CCC(O)NC1O)C2O,C13H25N3O4,287.35999999999996,287.18450628,-1.928799999999998,122.21000000000001,7,6,1,3,0,1.0,20,20,8,0,0.3319810374305114,,358.50796993740744,-0.28,14.648695705259302,5.490434179613943,2.269502134546819,0,0,3,0,3,7,70.83030000000004,1,True,True,True,False,False,None,None,None
LR00028,OC(O)C1CCCC[C@H]1C(O)N[C@H]1CC[C@H](O)N[C@@H]1O,OC(O)C1CCCC[C@H]1C(O)N[C@H]1CC[C@H](O)N[C@@H]1O,C13H26N2O5,290.36,290.18417193199997,-1.599699999999999,125.21000000000001,7,7,4,2,0,1.0,20,20,6,0,0.3109608092426987,,304.4861028048754,-0.28,16.096783291841206,7.12630504108441,3.8825169760072424,0,0,2,0,2,7,70.98740000000004,1,True,True,True,False,False,None,het-C-het_not_in_ring,None
LR00029,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00030,OC1C[C@H](NC(O)[C@@H]2CC(N(O)O)CC[C@H]2C(O)O)C(O)N1,OC1C[C@H](NC(O)[C@@H]2CC(N(O)O)CC[C@H]2C(O)O)C(O)N1,C12H25N3O7,323.34599999999995,323.16925014000003,-2.9308999999999954,168.91,10,9,5,2,0,1.0,22,22,7,0,0.18848417151769628,,359.6115855224579,-0.39999999999999997,17.94615083405122,7.446362301930823,4.113674197384067,0,0,2,0,2,10,70.95340000000002,1,True,False,False,False,False,None,Oxygen-nitrogen_single_bond; het-C-het_not_in_ring,None
LR00031,NC1CCC2C(C1)C(O)N([C@H]1CC(O)NC1O)C2O,NC1CCC2C(C1)C(O)N([C@H]1CC(O)NC1O)C2O,C12H23N3O4,273.33299999999997,273.168856216,-2.318899999999997,122.21000000000001,7,6,1,3,0,1.0,19,19,8,0,0.3169963509115554,,344.93618524461067,-0.28,13.691586589347207,4.923454247363039,2.18960215181083,0,0,3,0,3,7,66.21330000000003,1,True,True,True,False,False,None,None,None
LR00032,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00033,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
LR00034,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,OC1CC[C@H](N2C(O)C3CCCCC3C2O)[C@@H](O)N1,C13H24N2O4,272.3449999999999,272.173607248,-0.8659999999999997,96.19000000000001,6,5,1,3,0,1.0,19,19,7,0,0.42594258665926643,,311.7650776635802,-0.24000000000000002,13.72979518193057,5.272521116543027,2.3035665371028284,0,0,3,0,3,6,67.47190000000005,0,True,True,True,False,True,None,None,None
