Unified_Scaffold_ID,Scaffold_Hash,Original_Scaffold_ID
LR-SCAF00104,488d2785,MDM2_SCAF_18
LR-SCAF00105,491e9e63,VHL_SCAF_25
LR-SCAF00106,4af46abe,MDM2_SCAF_59
LR-SCAF00107,4c4bef8e,TRIM21_SCAF_48
LR-SCAF00108,4c5b1339,DCAF1_SCAF_15
LR-SCAF00109,4cab11d7,TRIM21_SCAF_78
LR-SCAF00110,4d6e1598,MDM2_SCAF_43
LR-SCAF00111,4d932007,XIAP_SCAF_12
LR-SCAF00112,5071bba5,MDM2_SCAF_49
LR-SCAF00113,50e510ac,TRIM24_SCAF_1
LR-SCAF00114,51968811,MDM2_SCAF_21
LR-SCAF00115,52affb69,TRIM21_SCAF_76
LR-SCAF00116,53403914,CRBN_SCAF_44
LR-SCAF00117,53e91f1f,CRBN_SCAF_32
LR-SCAF00118,5429c8b4,KEAP1_SCAF_5
LR-SCAF00119,54426dda,KEAP1_SCAF_67
LR-SCAF00120,546ff65b,TRIM21_SCAF_54
LR-SCAF00121,553161db,DCAF1_SCAF_3
LR-SCAF00122,55516ce1,VHL_SCAF_15
LR-SCAF00123,561ef090,KEAP1_SCAF_37
LR-SCAF00124,56715195,XIAP_SCAF_21
LR-SCAF00124,56715195,cIAP1_SCAF_9
LR-SCAF00125,56acc5a7,KEAP1_SCAF_7
LR-SCAF00126,5999df73,TRIM21_SCAF_42
LR-SCAF00127,59a4b7b9,MDM2_SCAF_68
LR-SCAF00128,59b05290,VHL_SCAF_22
LR-SCAF00129,5af33132,VHL_SCAF_5
LR-SCAF00130,5b1cfc5b,KEAP1_SCAF_36
LR-SCAF00131,5bb4cd96,KEAP1_SCAF_13
LR-SCAF00132,5da7ed6d,CRBN_SCAF_9
LR-SCAF00133,5dc0c122,TRIM21_SCAF_8
LR-SCAF00134,5e762187,MDM2_SCAF_60
LR-SCAF00135,5f481d92,TRIM21_SCAF_74
LR-SCAF00136,5f5a5983,cIAP1_SCAF_11
LR-SCAF00137,60105a36,CRBN_SCAF_43
LR-SCAF00138,60206d7e,MDM2_SCAF_14
LR-SCAF00139,602da2b8,MDM2_SCAF_13
LR-SCAF00140,626f25b5,cIAP1_SCAF_2
LR-SCAF00141,62e8bf8e,KEAP1_SCAF_52
LR-SCAF00142,6317954b,CRBN_SCAF_28
LR-SCAF00143,6367056e,MDM2_SCAF_24
LR-SCAF00144,650cd44b,TRIM21_SCAF_66
LR-SCAF00145,663967fd,DCAF1_SCAF_9
LR-SCAF00146,667ff8dd,MDM2_SCAF_44
LR-SCAF00147,67641f8b,MDM2_SCAF_6
LR-SCAF00148,6b18dffe,TRIM21_SCAF_55
LR-SCAF00149,6b26f3cb,MDM2_SCAF_58
LR-SCAF00150,6e3a2581,CRBN_SCAF_6
LR-SCAF00151,6f5e9f96,CRBN_SCAF_27
LR-SCAF00152,70532317,TRIM21_SCAF_18
LR-SCAF00153,70c32d6f,TRIM21_SCAF_77
LR-SCAF00154,71cbbeb3,CRBN_SCAF_14
LR-SCAF00155,71e77d66,MDM2_SCAF_10
LR-SCAF00156,732bbfed,TRIM21_SCAF_63
LR-SCAF00157,73e3831c,KEAP1_SCAF_4
LR-SCAF00158,7484f9ab,KEAP1_SCAF_31
LR-SCAF00159,74f865b6,TRIM21_SCAF_60
LR-SCAF00160,76042db5,KEAP1_SCAF_28
LR-SCAF00161,760ab01a,MDM2_SCAF_760ab01a
LR-SCAF00162,76cf83bf,MDM2_SCAF_55
LR-SCAF00163,779a246f,CRBN_SCAF_29
LR-SCAF00164,7828a6cd,MDM2_SCAF_29
LR-SCAF00165,7869e375,VHL_SCAF_2
LR-SCAF00166,788cb04f,MDM2_SCAF_1
LR-SCAF00166,788cb04f,MDMX_SCAF_2
LR-SCAF00167,7891074f,TRIM21_SCAF_23
LR-SCAF00168,79dc462f,KEAP1_SCAF_17
LR-SCAF00169,7a0f29f7,MDMX_SCAF_1
LR-SCAF00170,7a9485f4,KEAP1_SCAF_45
LR-SCAF00171,7d421122,KEAP1_SCAF_56
LR-SCAF00172,7f22b770,CRBN_SCAF_15
LR-SCAF00173,7fb2ecd2,DCAF1_SCAF_6
LR-SCAF00174,7fdfa2c9,DCAF15_SCAF_3
LR-SCAF00175,80019507,HOIP(RNF31)_SCAF_1
LR-SCAF00176,8097b959,KEAP1_SCAF_63
LR-SCAF00177,8175cc01,CRBN_SCAF_33
LR-SCAF00178,81b81ee0,MDM2_SCAF_37
LR-SCAF00179,81c2d1e9,KEAP1_SCAF_55
LR-SCAF00180,81d75b80,MDM2_SCAF_32
LR-SCAF00181,81df215f,CRBN_SCAF_42
LR-SCAF00182,8210da1c,KEAP1_SCAF_60
LR-SCAF00183,826062c2,CRBN_SCAF_18
LR-SCAF00184,8280ebad,MDM2_SCAF_34
LR-SCAF00185,830437f4,KEAP1_SCAF_21
LR-SCAF00186,832ce6bf,XIAP_SCAF_16
LR-SCAF00187,836621cc,MDM2_SCAF_22
LR-SCAF00188,83e3ca04,TRIM21_SCAF_67
LR-SCAF00189,85047334,KEAP1_SCAF_46
LR-SCAF00190,8540716d,KEAP1_SCAF_70
LR-SCAF00191,85503210,TRIM21_SCAF_40
LR-SCAF00192,85813b1f,LIVIN_SCAF_1
LR-SCAF00193,85e4eaf2,CHIP_SCAF_5
LR-SCAF00194,8644b171,MDM2_SCAF_64
LR-SCAF00195,879804e0,TRIM24_SCAF_2
LR-SCAF00196,87ccdfb5,MDM2_SCAF_61
LR-SCAF00197,88207aea,HOIP(RNF31)_SCAF_2
LR-SCAF00198,88684ca7,TRIM21_SCAF_9
LR-SCAF00199,899c9c02,CRBN_SCAF_16
LR-SCAF00200,89c06b8f,KEAP1_SCAF_66
LR-SCAF00201,89c2f209,MDM2_SCAF_15
LR-SCAF00202,89d1b783,MDM2_SCAF_48
LR-SCAF00203,8a351e54,TRIM21_SCAF_64
LR-SCAF00204,8a78dae3,KEAP1_SCAF_44
LR-SCAF00205,8ad7ce01,CRBN_SCAF_26
LR-SCAF00206,8b7236b6,MDM2_SCAF_5
LR-SCAF00206,8b7236b6,VHL_SCAF_24
LR-SCAF00207,8c4ac105,TRIM21_SCAF_58
LR-SCAF00208,8c4f468e,TRIM21_SCAF_3
LR-SCAF00209,8d22e845,DCAF1_SCAF_13
LR-SCAF00210,8d6062d9,KEAP1_SCAF_26
LR-SCAF00211,8d6d2ee3,CRBN_SCAF_39
LR-SCAF00212,8e023bd7,TRIM21_SCAF_36
LR-SCAF00213,8ed40683,KEAP1_SCAF_34
LR-SCAF00214,8f0b3fac,VHL_SCAF_1
LR-SCAF00215,8fda97d5,DCAF15_SCAF_1
LR-SCAF00216,90a9b679,KEAP1_SCAF_16
LR-SCAF00217,91b5e5af,TRIM21_SCAF_21
LR-SCAF00218,922af821,TRIM21_SCAF_46
LR-SCAF00219,927a5aa0,KEAP1_SCAF_40
LR-SCAF00219,927a5aa0,TRIM21_SCAF_19
LR-SCAF00219,927a5aa0,XIAP_SCAF_14
LR-SCAF00220,92b2068f,TRIM21_SCAF_24
LR-SCAF00221,92f0dc5b,MDM2_SCAF_11
LR-SCAF00222,92fee6ac,TRIM21_SCAF_45
LR-SCAF00223,934dcdfd,MDM2_SCAF_39
LR-SCAF00224,938a9865,TRIM21_SCAF_52
LR-SCAF00225,93b39f15,DCAF1_SCAF_11
LR-SCAF00226,94995f78,MDM2_SCAF_38
LR-SCAF00227,955ad841,TRIM21_SCAF_11
LR-SCAF00228,9682f4ff,MDM2_SCAF_47
LR-SCAF00229,972d2b1e,KEAP1_SCAF_18
LR-SCAF00230,980b70ea,KEAP1_SCAF_58
LR-SCAF00231,9970801b,KEAP1_SCAF_12
LR-SCAF00231,9970801b,LIVIN_SCAF_7
LR-SCAF00231,9970801b,MDM2_SCAF_4
LR-SCAF00231,9970801b,TRIM21_SCAF_2
LR-SCAF00231,9970801b,XIAP_SCAF_10
LR-SCAF00231,9970801b,cIAP1_SCAF_4
LR-SCAF00232,9a4eb7a7,SOCS2_SCAF_1
LR-SCAF00233,9ae6da2b,MDM2_SCAF_52
LR-SCAF00234,9b07acb7,CRBN_SCAF_30
LR-SCAF00235,9b2aa019,TRIM21_SCAF_65
LR-SCAF00236,9b8d5329,CRBN_SCAF_21
LR-SCAF00237,9c337ed6,CRBN_SCAF_34
LR-SCAF00238,9de92e9d,TRIM21_SCAF_13
LR-SCAF00239,9e037e45,TRIM21_SCAF_25
LR-SCAF00240,9e188fdd,KEAP1_SCAF_51
LR-SCAF00241,9eaa5b88,CRBN_SCAF_23
LR-SCAF00242,9efc1c1e,XIAP_SCAF_1
LR-SCAF00243,9fb6c9b3,TRIM21_SCAF_12
LR-SCAF00244,a0082199,DCAF1_SCAF_5
LR-SCAF00245,a0d1dc95,TRIM21_SCAF_16
LR-SCAF00246,a26eb8ba,XIAP_SCAF_17
LR-SCAF00247,a464f5cc,LIVIN_SCAF_4
LR-SCAF00248,a4758722,KEAP1_SCAF_25
LR-SCAF00249,a4a87fbc,TRIM21_SCAF_22
LR-SCAF00250,a4c5b1f7,DCAF1_SCAF_17
LR-SCAF00251,a69df939,CRBN_SCAF_25
LR-SCAF00252,a72f74b5,CHIP_SCAF_4
LR-SCAF00253,a83825cf,CRBN_SCAF_2
LR-SCAF00254,a90fce23,MDM2_SCAF_16
LR-SCAF00255,aa237c1e,XIAP_SCAF_6
LR-SCAF00256,aa4c7f11,DCAF1_SCAF_14
LR-SCAF00257,ab5e5c84,DCAF1_SCAF_10
LR-SCAF00258,ab87471f,MDM2_SCAF_65
LR-SCAF00259,ac649b90,TRIM21_SCAF_50
LR-SCAF00260,acdbdd5f,VHL_SCAF_30
LR-SCAF00261,ade4826c,KEAP1_SCAF_38
LR-SCAF00262,ae0a943b,CHIP_SCAF_1
LR-SCAF00263,ae7065f9,KEAP1_SCAF_54
LR-SCAF00264,aeac063c,VHL_SCAF_21
LR-SCAF00265,b0dfe869,VHL_SCAF_14
LR-SCAF00266,b237ad03,TRIM21_SCAF_30
LR-SCAF00267,b3763965,XIAP_SCAF_3
LR-SCAF00268,b378c02e,KEAP1_SCAF_33
LR-SCAF00269,b3d6d51a,TRIM21_SCAF_57
LR-SCAF00270,b3f5828c,TRIM21_SCAF_28
LR-SCAF00271,b49d704d,CRBN_SCAF_38
LR-SCAF00272,b54cf8a8,HOIP(RNF31)_SCAF_3
LR-SCAF00273,b613b9e0,DCAF1_SCAF_12
LR-SCAF00274,b6697a20,TRIM21_SCAF_61
LR-SCAF00275,b69839f4,TRIM21_SCAF_38
LR-SCAF00276,b7bf4532,KEAP1_SCAF_49
LR-SCAF00277,b802407d,MDM2_SCAF_2
LR-SCAF00278,b8e1ee65,TRIM21_SCAF_7
LR-SCAF00279,b91bbdb2,KEAP1_SCAF_6
LR-SCAF00280,b9bcbd87,KEAP1_SCAF_8
LR-SCAF00281,ba1b5668,LIVIN_SCAF_5
LR-SCAF00282,bb3f1616,KEAP1_SCAF_68
LR-SCAF00283,bc342e7d,KEAP1_SCAF_35
LR-SCAF00284,bc52da4c,TRIM21_SCAF_69
LR-SCAF00285,bdf24a45,MDM2_SCAF_33
LR-SCAF00286,bf99e947,Cbl-b_SCAF_1
LR-SCAF00287,bffd5291,TRIM21_SCAF_70
LR-SCAF00288,c0cae208,MDM2_SCAF_51
LR-SCAF00289,c0f4f282,CRBN_SCAF_41
LR-SCAF00290,c17485d6,CRBN_SCAF_7
LR-SCAF00291,c1d7a03c,TRIM21_SCAF_4
LR-SCAF00292,c246366b,MDM2_SCAF_66
LR-SCAF00293,c2d55d93,VHL_SCAF_31
LR-SCAF00294,c3032de8,LIVIN_SCAF_3
LR-SCAF00295,c36e270e,VHL_SCAF_7
LR-SCAF00296,c3c0f007,MDM2_SCAF_62
LR-SCAF00297,c592394b,TRIM21_SCAF_15
LR-SCAF00298,c7612d7c,Parkin_SCAF_1
LR-SCAF00299,c8d43d47,TRIM21_SCAF_20
LR-SCAF00300,c977aab5,TRIM21_SCAF_56
LR-SCAF00301,c9b79d6e,MDM2_SCAF_53
LR-SCAF00302,ca2a6d6b,TRIM21_SCAF_49
LR-SCAF00303,ca5eeffe,TRIM21_SCAF_17
LR-SCAF00304,ca742bc7,XIAP_SCAF_13
LR-SCAF00305,cb318e39,KEAP1_SCAF_2
LR-SCAF00306,cb3322eb,TRIM21_SCAF_53
LR-SCAF00307,cb9c95d5,VHL_SCAF_28
LR-SCAF00308,cdc78116,VHL_SCAF_20
LR-SCAF00309,cdc82523,LIVIN_SCAF_2
LR-SCAF00310,ce6c187c,CRBN_SCAF_5
LR-SCAF00311,ceae9cd4,VHL_SCAF_34
LR-SCAF00312,cfa059c0,KEAP1_SCAF_57
