Ligase,Scaffold_ID,Recruiter_Count,Scaffold_Hash,Original_Scaffold_ID_Group,Scaffold_SMILES,Murcko_SMILES,Scaffold_Class,Scaffold_Center_of_Mass_X,Scaffold_Center_of_Mass_Y,Scaffold_Center_of_Mass_Z,Ligase_Scaffold_Connectivity,Total_Recruiters,Recruiter_Density_Score,Shannon_Diversity_Index,Normalized_Diversity
CRBN,LR-SCAF00290,2,c17485d6,CRBN_SCAF_7,C1CCC(CN[C@H]2CCNC2)CC1,C1CCC(CN[C@H]2CCNC2)CC1,Bicyclic_Hetero,2.6175886854876548e-14,-1.1260833535483732e-14,0.0923930035434052,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00315,2,d068cd94,CRBN_SCAF_3,C1CCC(NCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,C1CCC(NCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,Polycyclic_Hetero,9.769962616701378e-15,6.7125792104259455e-15,-0.0270373642266576,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00340,2,e48c70e3,CRBN_SCAF_17,C1CCC(SC[C@H]2CCCNC2)CC1,C1CCC(SC[C@H]2CCCNC2)CC1,Bicyclic_Hetero,-5.953195894206245e-15,4.770958403118916e-16,-0.0288301668322895,1,108,0.018518518518518517,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00020,1,0c9c5086,CRBN_SCAF_10,C1CCNC1,C1CCNC1,Monocyclic_Hetero,-7.454354593911765e-16,-3.1720657846433036e-17,1.0309213800090741e-16,2,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00027,1,0ee46d59,CRBN_SCAF_37,C1CNC[C@@H](N2CC3C4OCC5(CCNCC5)C4CC[C@@H]3C2)C1,C1CNC[C@@H](N2CC3C4OCC5(CCNCC5)C4CC[C@@H]3C2)C1,Polycyclic_Hetero,-3.501960626246208e-14,-5.255716496930875e-15,-0.1050307583376773,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00034,1,13116fd1,CRBN_SCAF_8,C1CCC2CN([C@H]3CCNC3)CC2C1,C1CCC2CN([C@H]3CCNC3)CC2C1,Polycyclic_Hetero,-2.0440439464487605e-14,0.0442494397049813,-5.230384027122961e-15,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00060,1,2dd93745,CRBN_SCAF_35,C1CNC[C@@H](N2CC([C@H]3CCSC3)NN2)C1,C1CNC[C@@H](N2CC([C@H]3CCSC3)NN2)C1,Polycyclic_Hetero,-9.641410477007938e-15,-8.209807103149184e-14,0.0570404006111273,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00070,1,34ce397c,CRBN_SCAF_11,C1CCC(CCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,C1CCC(CCNCC2CCC3CN([C@H]4CCCNC4)CC3C2)CC1,Polycyclic_Hetero,5.0868400401007175e-15,-1.0076115026522252e-14,-0.0445554146506547,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00116,1,53403914,CRBN_SCAF_44,C1CC2CN([C@H]3CCCNC3)CC2C(NCC2CCC(CN3CC(N4CCOCC4)C3)CC2)C1,C1CC2CN([C@H]3CCCNC3)CC2C(NCC2CCC(CN3CC(N4CCOCC4)C3)CC2)C1,Polycyclic_Hetero,-3.5673424998308565e-14,-0.0842003996227394,-7.617436093663427e-15,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00117,1,53e91f1f,CRBN_SCAF_32,C1CNC[C@@H](N2CC3CCC(N4[C@@H]5CCC[C@H]4CC5)CC3C2)C1,C1CNC[C@@H](N2CC3CCC(N4[C@@H]5CCC[C@H]4CC5)CC3C2)C1,Polycyclic_Hetero,4.650685966602207e-14,-1.3234624124583332e-14,0.0077355118893641,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00132,1,5da7ed6d,CRBN_SCAF_9,C1CCC(COCN[C@H]2CCNC2)CC1,C1CCC(COCN[C@H]2CCNC2)CC1,Bicyclic_Hetero,-1.705758041936907e-14,-2.1336209152732176e-15,0.0349810493194029,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00137,1,60105a36,CRBN_SCAF_43,C(CCCCNCCN[C@H]1CCCNC1)CCCCNCC[C@@H]1N[C@@H](C2CCCCC2)C2CCS[C@H]2N2CNN[C@@H]12,C(CCCCNCCN[C@H]1CCCNC1)CCCCNCC[C@@H]1N[C@@H](C2CCCCC2)C2CCS[C@H]2N2CNN[C@@H]12,Polycyclic_Hetero,4.558892945689357e-14,0.0887163979251163,5.127115663245128e-15,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00142,1,6317954b,CRBN_SCAF_28,C1CCC(CN2CCC3(CC2)COC2[C@H]3CC[C@@H]3CN([C@H]4CCCNC4)C[C@@H]23)CC1,C1CCC(CN2CCC3(CC2)COC2[C@H]3CC[C@@H]3CN([C@H]4CCCNC4)C[C@@H]23)CC1,Polycyclic_Hetero,2.626639646526504e-14,0.0253162959950385,-7.47550169914272e-15,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00151,1,6f5e9f96,CRBN_SCAF_27,C1CNC[C@H](OC2CCC3CN([C@H]4CCCNC4)CC3C2)C1,C1CNC[C@H](OC2CCC3CN([C@H]4CCCNC4)CC3C2)C1,Polycyclic_Hetero,-8.397323240801184e-15,1.517977662760214e-15,0.0252310917524415,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00154,1,71cbbeb3,CRBN_SCAF_14,C1CCC2NCN([C@H]3CCCNC3)CC2C1,C1CCC2NCN([C@H]3CCCNC3)CC2C1,Polycyclic_Hetero,-7.257067575598585e-16,-2.193367438893602e-15,0.0519668352024816,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00163,1,779a246f,CRBN_SCAF_29,C1CNC[C@@H](C2NNC3CC(NC4CCNCC4)CCC32)C1,C1CNC[C@@H](C2NNC3CC(NC4CCNCC4)CCC32)C1,Polycyclic_Hetero,3.4315984397504836e-14,4.9657248010507e-15,0.0103871757938598,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00177,1,8175cc01,CRBN_SCAF_33,C1CCC(CSN2CC3CCCC[C@H]3C[C@H]2CNCC2CCN3C(C2)NCC3N2CCCNC2)CC1,C1CCC(CSN2CC3CCCC[C@H]3C[C@H]2CNCC2CCN3C(C2)NCC3N2CCCNC2)CC1,Polycyclic_Hetero,7.84557604068444e-15,1.7319479184152442e-14,3.720172318348129e-15,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00181,1,81df215f,CRBN_SCAF_42,C1CCC(CN2CCC([C@H]3CCC4CN([C@H]5CCCNC5)CC4C3)CC2)CC1,C1CCC(CN2CCC([C@H]3CCC4CN([C@H]5CCCNC5)CC4C3)CC2)CC1,Polycyclic_Hetero,1.2166827667125004e-15,-4.344317903892822e-15,-0.1147820635632395,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00205,1,8ad7ce01,CRBN_SCAF_26,C1CNC[C@@H](N2CC3CCC(O[C@H]4CNCCC45CC5)CC3C2)C1,C1CNC[C@@H](N2CC3CCC(O[C@H]4CNCCC45CC5)CC3C2)C1,Polycyclic_Hetero,-4.9783153117768045e-14,-4.704334850106595e-15,-0.0188688488726716,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00211,1,8d6d2ee3,CRBN_SCAF_39,C1CNC[C@@H](N2CC3CC[C@H]([C@H]4C[C@@H](CN5CCCC5)C5CCNC5N4)CC3C2)C1,C1CNC[C@@H](N2CC3CC[C@H]([C@H]4C[C@@H](CN5CCCC5)C5CCNC5N4)CC3C2)C1,Polycyclic_Hetero,-2.85875027354147e-14,4.230319798163388e-15,0.0732998868512336,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00236,1,9b8d5329,CRBN_SCAF_21,C(CCCN1CCC(C2CCCC3CN([C@H]4CCCNC4)CC32)CC1)CCCN1CC(C2CCC3C(C2)[C@H](C2CCCCC2)NC2(CC2)C2NNCN32)CN1,C(CCCN1CCC(C2CCCC3CN([C@H]4CCCNC4)CC32)CC1)CCCN1CC(C2CCC3C(C2)[C@H](C2CCCCC2)NC2(CC2)C2NNCN32)CN1,Polycyclic_Hetero,1.1424034021505236e-14,1.8132033716667956e-14,-4.2301106257094734e-15,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00237,1,9c337ed6,CRBN_SCAF_34,C1CCC(C2CCC[C@H]([C@H]3CCCNC3)C2)CC1,C1CCC(C2CCC[C@H]([C@H]3CCCNC3)C2)CC1,Polycyclic_Hetero,1.169314078670512e-13,-2.3514070509305862e-14,0.0632585611555108,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00241,1,9eaa5b88,CRBN_SCAF_23,C1CC[C@H](COC2CCC3CN([C@H]4CCCNC4)CC3C2)NC1,C1CC[C@H](COC2CCC3CN([C@H]4CCCNC4)CC3C2)NC1,Polycyclic_Hetero,-2.845233627246263e-14,1.127929167690299e-14,0.0077355118893701,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00251,1,a69df939,CRBN_SCAF_25,C1CCC(N2CCCC3CNC(NC4CCC(SC5CC6(CCN(CC7CCN([C@@H]8CCC9C(C8)NCN9[C@@H]8CCCNC8)CC7)CC6)C5)CC4)NC32)C1,C1CCC(N2CCCC3CNC(NC4CCC(SC5CC6(CCN(CC7CCN([C@@H]8CCC9C(C8)NCN9[C@@H]8CCCNC8)CC7)CC6)C5)CC4)NC32)C1,Polycyclic_Hetero,1.9566637366326067e-14,-6.210570904670049e-16,-0.0197386057404969,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00253,1,a83825cf,CRBN_SCAF_2,C1CO[C@@H](N2CCCNC2)C1,C1CO[C@@H](N2CCCNC2)C1,Bicyclic_Hetero,8.388351741612295e-16,-2.541177145253136e-15,-0.0448379083436786,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00271,1,b49d704d,CRBN_SCAF_38,C1CNCN([C@@H]2CNC3C4OCC5(CCNCC5)C4CCN32)C1,C1CNCN([C@@H]2CNC3C4OCC5(CCNCC5)C4CCN32)C1,Polycyclic_Hetero,1.1513423959075698e-14,-7.039636363549141e-15,0.1096618778955658,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00289,1,c0f4f282,CRBN_SCAF_41,C1CNC[C@@H](C2NNC3CC(N4CCC(NC5NCCC(NC6CCC7NCNC7C6)N5)CC4)CCC32)C1,C1CNC[C@@H](C2NNC3CC(N4CCC(NC5NCCC(NC6CCC7NCNC7C6)N5)CC4)CCC32)C1,Polycyclic_Hetero,-4.3057345128940855e-14,-1.8415221038891184e-14,0.0074443800909868,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00310,1,ce6c187c,CRBN_SCAF_5,C1CC[C@H]2CN([C@@H]3CCCNC3)C[C@@H]2C1,C1CC[C@H]2CN([C@@H]3CCCNC3)C[C@@H]2C1,Polycyclic_Hetero,5.294909809750747e-15,-5.129799718909057e-15,8.995653225167935e-16,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00320,1,d5b01f0f,CRBN_SCAF_31,C1CNCN(C2CCC3CCNC3C2)C1,C1CNCN(C2CCC3CCNC3C2)C1,Polycyclic_Hetero,-9.898514756394816e-15,5.551115123125784e-16,5.0369065643520256e-15,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
CRBN,LR-SCAF00336,1,e2b60216,CRBN_SCAF_19,C1CCC2C(NC3CCC4CN([C@H]5CCCNC5)CC4C3)NOC2C1,C1CCC2C(NC3CCC4CN([C@H]5CCCNC5)CC4C3)NOC2C1,Polycyclic_Hetero,4.0943569117979546e-14,-1.6005411932055125e-14,-0.0605814179175879,1,108,0.009259259259259259,2.90496869051847,0.7676593859041309
